subject,roi,freq_0.000000,freq_0.001603,freq_0.003205,freq_0.004808,freq_0.006410,freq_0.008013,freq_0.009615,freq_0.011218,freq_0.012821,freq_0.014423,freq_0.016026,freq_0.017628,freq_0.019231,freq_0.020833,freq_0.022436,freq_0.024038,freq_0.025641,freq_0.027244,freq_0.028846,freq_0.030449,freq_0.032051,freq_0.033654,freq_0.035256,freq_0.036859,freq_0.038462,freq_0.040064,freq_0.041667,freq_0.043269,freq_0.044872,freq_0.046474,freq_0.048077,freq_0.049679,freq_0.051282,freq_0.052885,freq_0.054487,freq_0.056090,freq_0.057692,freq_0.059295,freq_0.060897,freq_0.062500,freq_0.064103,freq_0.065705,freq_0.067308,freq_0.068910,freq_0.070513,freq_0.072115,freq_0.073718,freq_0.075321,freq_0.076923,freq_0.078526,freq_0.080128,freq_0.081731,freq_0.083333,freq_0.084936,freq_0.086538,freq_0.088141,freq_0.089744,freq_0.091346,freq_0.092949,freq_0.094551,freq_0.096154,freq_0.097756,freq_0.099359,freq_0.100962,freq_0.102564,freq_0.104167,freq_0.105769,freq_0.107372,freq_0.108974,freq_0.110577,freq_0.112179,freq_0.113782,freq_0.115385,freq_0.116987,freq_0.118590,freq_0.120192,freq_0.121795,freq_0.123397,freq_0.125000,freq_0.126603,freq_0.128205,freq_0.129808,freq_0.131410,freq_0.133013,freq_0.134615,freq_0.136218,freq_0.137821,freq_0.139423,freq_0.141026,freq_0.142628,freq_0.144231,freq_0.145833,freq_0.147436,freq_0.149038,freq_0.150641,freq_0.152244,freq_0.153846,freq_0.155449,freq_0.157051,freq_0.158654,freq_0.160256,freq_0.161859,freq_0.163462,freq_0.165064,freq_0.166667,freq_0.168269,freq_0.169872,freq_0.171474,freq_0.173077,freq_0.174679,freq_0.176282,freq_0.177885,freq_0.179487,freq_0.181090,freq_0.182692,freq_0.184295,freq_0.185897,freq_0.187500,freq_0.189103,freq_0.190705,freq_0.192308,freq_0.193910,freq_0.195513,freq_0.197115,freq_0.198718,freq_0.200321,freq_0.201923,freq_0.203526,freq_0.205128,freq_0.206731,freq_0.208333,freq_0.209936,freq_0.211538,freq_0.213141,freq_0.214744,freq_0.216346,freq_0.217949,freq_0.219551,freq_0.221154,freq_0.222756,freq_0.224359,freq_0.225962,freq_0.227564,freq_0.229167,freq_0.230769,freq_0.232372,freq_0.233974,freq_0.235577,freq_0.237179,freq_0.238782,freq_0.240385,freq_0.241987,freq_0.243590,freq_0.245192,freq_0.246795,freq_0.248397,freq_0.250000
sub-006C,auditory,0.0080148030,0.0057924736,0.0007460824,0.0030232857,0.0159904196,0.5684266819,2.3213142420,9.2371292186,9.8515094529,2.8657141944,20.5483245253,14.4967933770,9.5788669304,9.6424512238,2.2550296483,11.9811602618,7.3460953491,7.0058925905,6.6319202589,5.5313214235,1.4394440593,6.0620596428,9.2496682318,3.3962673201,9.8941320869,9.3120949868,10.7325636208,17.7285500083,9.8036286865,5.2326524465,3.2623810014,5.5293522207,4.7288683303,2.7771329369,9.9926203570,8.8440562624,3.3684511100,3.1224648396,2.6953013954,0.6774274236,2.7649833015,8.1357661996,8.8378791180,5.9887587461,3.5788780144,8.3792126987,12.7724652439,5.6725672209,2.4953023485,1.7775582985,5.5765580353,2.8097426117,5.7335419527,3.2584458031,3.5347967922,3.4755421866,1.4319254537,1.8676173980,5.6181958403,12.0796964355,6.0750511615,0.6883120075,1.3543373839,2.0657311396,5.1897467142,5.9575331652,3.1454281122,1.8104011231,3.6113306612,3.1970469545,5.6656807666,6.9060233205,9.1435080486,7.4554267027,3.1073641572,5.9910931178,5.5524289194,2.4911828224,3.0275847318,1.2707108589,1.3143868615,2.0502838384,7.0592207328,5.4880414530,9.3466469200,4.6040160697,2.1416948787,3.5435503433,1.8280004786,3.1360923938,3.2624299542,1.9658212014,2.4720870921,1.6865795138,2.1971151250,3.4893352902,5.8621840863,3.2577655108,2.3195596390,3.2393101207,5.4283186530,7.7875743912,7.9703599100,5.2030121138,3.5204658227,3.9124743113,6.8333886707,3.4331448385,3.9571164800,2.5069956950,2.5408345673,3.7432823935,3.4443810442,0.8239209024,1.3864001301,2.0024776067,3.7335772553,3.0603261562,0.9878987347,1.4521667648,0.7856112539,6.9897361810,3.0285682718,3.1892927992,3.7723232899,6.7030923762,8.1354455698,6.1620219389,2.6321670957,0.8847275593,1.2479775168,2.4364599403,1.3262275606,2.4569326943,2.3735105107,4.0010585129,2.7166595458,1.3273169750,1.8402481286,2.7960687244,3.4389018994,2.3432084919,2.2711789957,1.8253360743,5.9933506175,10.5348750808,9.4824951972,3.7360472025,1.6639625890,1.0976912035,0.4977350992,0.0943312854,0.0038493666,0.0019971942,0.0020150349,0.0020834742,0.0010410517
sub-006C,dmn,0.0116620165,0.0104093559,0.0007499713,0.0020023367,0.0148955723,0.1656123248,1.6078020071,8.9137903920,12.6562853272,8.8483364642,10.7839519353,5.7503743287,9.8076451343,12.6515489152,14.2523955168,4.0922941980,3.5133284597,5.0975008812,8.9122230239,4.2160977422,2.7183867459,6.2400776825,3.7461256652,2.6197458977,7.8770644324,8.8929479084,13.2774044092,9.9736751880,5.7326343468,3.6844219391,10.6052311793,9.6528566888,4.0834802783,3.3680601143,4.6429813500,9.3466913291,11.5564560299,4.0491276730,3.5187133162,6.2945423103,11.5215912278,9.5944559564,8.4065961305,3.0874033335,6.8053421681,3.5081547658,2.0986503418,1.3328630580,6.9844864688,4.1707340933,3.6928806854,2.6002368046,4.2882521223,2.6754927601,1.3219680813,6.5115408540,9.5758343231,6.8226034420,5.0814609420,4.7717350315,4.6679402096,3.2020793148,3.2597076664,4.4030914306,3.5352315306,2.5937274226,6.1057770433,2.7370800625,7.7886735465,5.7504679911,6.4196471120,6.4238666544,10.1146212498,4.4114143571,7.5553663047,2.1475317517,2.0134698374,2.0598897169,1.7642224030,2.4578339397,2.7130947961,5.2881211408,3.3425806204,6.4759435250,8.5781796268,3.6661253880,11.1092753176,6.0715075389,2.0320321412,3.9326783169,2.6563345147,2.8488148276,3.7405730884,1.8406791280,1.3988329508,2.5947758898,2.4230508877,1.0479931073,2.7277669807,2.5945317731,2.3643270324,5.6044225991,4.4797306564,1.2990631808,1.8307258170,3.2292137586,4.3637425534,2.9469794502,3.9432626523,1.7163364574,2.8985928903,2.6094111524,1.2723896166,3.3459512929,4.1226508154,2.5112875319,1.8833039518,1.6203914457,4.4931180585,7.2470411970,3.4474159161,2.6327909809,4.6700356637,3.7793403250,2.5175257668,1.4653986168,1.4658391724,1.4241504118,3.1557397762,3.0080220546,2.9387533989,2.9623808189,0.7439327334,1.2823460761,3.1594746786,4.0637820937,1.5381243861,0.9567373823,1.0467001307,2.3749694026,4.0377768684,5.2072760870,2.5002526939,3.6566008917,2.2763022401,1.1527739361,1.1743588720,1.6756391020,1.9328419144,0.9634579006,0.4926156586,0.1211580260,0.0022424492,0.0014860457,0.0016328354,0.0016469322,0.0008220594
sub-006C,fpn,0.0226564041,0.0221027415,0.0018036476,0.0021005457,0.0299622272,0.1748302735,2.1373383153,16.6321008772,15.0917946376,5.8330874165,13.7665138704,7.7320053188,11.9107975862,9.2219518388,11.7915575701,9.6407244114,1.9386722150,8.5111250823,7.6321231739,10.4520074086,5.4727744531,4.4281759049,17.7024192500,21.2342380096,13.4976058413,3.7286533060,4.6692804711,7.5150635858,6.0315458163,6.8731463647,5.2324602188,8.1096747445,5.3367764506,10.7181577194,7.1957922551,10.0983806010,2.0609780773,7.6021958128,2.2621224197,4.3074849286,6.6953026261,4.4778747455,8.1682828864,3.3156189892,3.0166824813,2.5930630494,3.2625047382,2.9412671006,7.6870077748,8.2043981624,4.8766579796,1.7502535093,3.0309617446,2.9476917278,2.1767977174,5.5085034438,4.4353585264,7.7461431865,6.5560397407,2.2284229812,8.5873776496,4.2865050392,4.3002373931,2.4620627303,0.3312632503,1.0666814859,6.1612380664,3.0860050515,0.8049416924,2.5037860797,3.3883075348,6.8434335085,9.5874451418,4.1074963103,8.8633084139,6.3916298642,2.2518859841,3.1529847396,3.0439603024,3.9173363661,2.0733069717,0.9499216231,2.8290599232,5.2472849775,9.2241783744,2.3064158655,2.3548502944,3.5908862405,4.0267269460,2.5085567923,1.2381169950,2.6753480297,5.7554505849,5.0613655624,1.4440420104,3.8130072866,1.2339895024,1.5890804841,3.5014885154,1.9747938846,0.4812612661,3.8642981320,5.7483065556,2.4649897929,2.1810479970,1.4795362265,1.6207064733,2.0700574979,1.8685435501,1.4053225895,6.6814999111,5.1746405729,2.3049647565,3.7161663419,3.1214355675,2.8366341281,2.6470339613,2.2455772059,1.1100587485,3.9904842489,1.7201256516,4.0384172384,1.2807071353,2.9487565120,1.1770961585,1.1756217021,3.1026984482,1.2659114129,1.0418861071,1.4762842957,1.5931106926,4.2214342340,1.5994903615,1.9207479994,1.0304336463,0.6132577906,0.4709992018,2.7238822379,1.0612468577,2.2055689396,5.6051535613,3.8832383936,1.5810565138,1.7632813029,2.0856170030,2.7590197384,1.7426626700,1.5984912455,1.0440925120,0.4865024332,0.4290545150,0.1314779856,0.0035525222,0.0012747455,0.0016166594,0.0016531678,0.0008269711
sub-006C,limbic,0.0041635785,0.0032139964,0.0002546420,0.0038755628,0.0209791140,0.5477952434,2.6999486539,4.5209164140,4.2238148418,7.4005276803,7.3824368236,6.6925682830,7.3431201273,2.7725543339,1.6191597519,5.8327824177,3.1269211382,3.5235583184,6.4673415855,9.9810264205,12.4922929844,7.2984443596,4.5833952287,1.1876241124,2.1775767807,3.5651107180,5.3344803368,2.9809893129,2.9024925138,4.1284259633,6.5241249863,2.6675030978,6.4987177199,6.0063502899,4.2208930568,10.2352198038,8.8844886069,3.5720741850,3.2947279821,3.4737912055,4.3201736328,5.0264701218,5.7451549726,2.1284409756,2.4821439319,3.1138930562,6.0384274915,6.9393911875,9.2238519784,4.6977972200,1.2446183660,7.9940914356,4.8564982568,0.9008503856,7.4025713605,8.7098116406,3.3746732426,4.7860246927,4.3536596191,6.5780842255,6.2936851126,4.5331001526,6.3426445898,2.7515409352,4.2883717236,7.8392535731,7.1803435588,4.7526176134,3.9611943053,3.1920392038,2.9163051214,8.8710218739,6.2373172007,3.4535946456,6.5585355673,3.6119967045,3.6402237341,5.4906064759,5.6746208469,2.6013743320,3.6051473259,7.5465257308,4.0569016297,1.6224316532,2.3006147368,8.6250300444,5.0486056354,2.7037789224,2.4317583720,7.9481579485,8.3438026029,2.8546499915,7.0076603568,4.0233576555,4.7584407328,7.4231606700,5.5079237607,0.7262490590,2.5681985891,3.9123436016,3.7224257231,2.0092092713,3.8820694770,3.0779467866,1.9469959826,1.5709213866,5.7300051543,4.7678597210,3.4958384087,6.5301221125,7.5370228560,6.5290451854,3.4097756514,3.0631988501,1.7643223895,2.1926071529,1.8186193521,1.2841451984,3.6424908821,5.3127093203,8.4684488041,11.5026751651,3.9591787957,2.5809138624,3.0742337101,2.2313633150,1.9414566080,4.5036756196,7.2619631531,5.4788273547,2.7435338851,3.6522180250,3.5859934793,4.7218217295,3.1133123674,3.3680379188,5.1735835671,2.8453502692,2.2893774806,1.4806011895,1.1802774236,4.4436148012,4.6203696363,5.9744463930,7.0518063649,3.9875296993,5.7837891764,2.6527053088,3.3458289753,2.7519308057,1.7502671006,0.1514712071,0.0059009974,0.0011113273,0.0010398158,0.0010391315,0.0005168042
sub-006C,motor,0.0086987043,0.0076471394,0.0003004337,0.0013347739,0.0201510946,0.1383960099,0.7535145014,3.7893115108,2.7480954357,4.3790420451,20.1675866591,11.8219792332,27.8840328908,10.3430076243,4.8178059387,12.2197119685,11.9538812819,4.8589427370,13.1774319005,15.0533060535,2.5067069199,1.5329534972,2.8162803873,1.3518177900,4.8942274196,3.9022155155,0.9540806499,1.6934079127,8.4016760769,14.6134124203,4.8312562960,3.7133194780,4.3887605828,3.5758936814,4.0873778118,6.1469091111,5.9534505467,1.1751072531,2.9783091081,2.6108976645,3.7854460642,4.6636281372,1.4568208432,1.0207377459,1.9880334089,3.6739210727,2.0523982250,0.4976579693,6.0637351738,6.7246961782,4.0093977006,4.0550187524,5.4867030003,6.5367471304,3.9961305398,6.8589076496,8.4658534277,11.6201260899,18.2060780681,13.5408616500,7.3059583348,0.9796257350,2.1073771950,2.3093613489,3.1220899861,4.4112505879,3.6564516438,6.4484199337,3.5879893341,1.5370551934,1.0501857918,3.8087568871,13.4853435142,4.3915344208,5.7386882492,5.4637688153,1.5208140680,1.8910194693,2.1420891803,4.2725293912,5.1973405801,4.0961122081,2.4718491184,1.9225444751,6.7935418855,2.9626441174,4.7105419536,1.8056364496,2.4715270709,2.2769485606,3.0932255471,7.0210542739,6.7405653333,0.6526845580,3.8071724236,4.2776289144,1.1729458697,2.1199345047,5.3837432028,4.3418806619,2.0443859625,1.2230905838,3.5796086788,4.6191445061,5.1873867670,2.6805560906,1.9132653102,5.7180428102,5.3326770433,2.3731841512,3.3537592025,4.2389545459,2.3486407263,1.1826941221,1.5991444595,2.8322217504,2.7811242447,1.2361196848,1.3832660579,4.8598970222,3.2532270547,2.7567149176,0.7890382662,3.9054482565,1.4542912408,1.9308841898,1.7221204416,0.7656558358,2.1187454395,2.7014383559,3.8357703845,4.1867480754,4.4898507105,4.2396713652,2.5309774397,1.2670632144,1.9550786393,3.1626307697,1.9863802865,4.8612027336,7.9301012932,7.7256867274,3.0573995398,2.3097818373,3.5102205613,2.6253351274,3.0532291470,4.1968175347,1.2350737574,0.9098657495,0.6986786372,0.0707978752,0.0015024278,0.0020205916,0.0021214108,0.0021476124,0.0010711931
sub-006C,salience,0.0282019799,0.0235365700,0.0020424343,0.0131615675,0.0224491582,0.2594052723,3.1025845760,17.7426419383,22.7701524238,7.6436178502,12.7784369202,3.7032202853,5.9793595620,2.6541129151,9.2452412264,14.6566172159,4.1689965355,8.9445363127,13.6137822822,4.1315069235,1.8947154640,2.0401894592,1.6934657884,8.6668806313,11.5387068151,6.7552084537,7.8978447091,8.6247946670,4.2195153155,1.4607621284,6.0089937070,9.2527010650,7.0088610123,9.4050468769,7.5430699321,8.6677511112,15.3507160467,11.1569821464,1.6291885880,1.1115815438,2.4545901652,6.5517305562,3.7568898360,1.7321900280,7.5414911896,8.5505413716,4.3894691123,3.7192643559,4.3470715847,4.0716204385,5.5415967719,3.1535432173,4.9307495494,1.9214344042,3.7600128694,2.3486153634,1.2405074386,3.4677055018,4.0153881287,3.7052057436,2.5272777997,1.7824388458,2.0607582991,5.8040185018,2.6175595760,2.1745975034,2.0581053775,2.2666794516,2.5409351771,3.4058203089,1.9151707600,4.6413485245,12.1859235292,2.0009500774,4.8490329126,5.6845237874,2.4727241984,1.1514167537,2.1396523724,2.1847356221,1.2181828956,3.2213534999,5.5109951216,4.4857204020,2.8963092777,2.9331028161,3.5478720221,3.9707175897,3.1693456607,3.1368083646,2.7060176262,3.1947475143,2.6602475133,3.1194017246,4.3531466528,4.5722249109,3.7272833893,3.2053743722,1.6317403150,1.4876284948,3.7921169288,7.3348181683,3.5324114580,1.7481340221,4.7508016660,3.1811581793,3.0420103180,4.4467986485,5.9930937435,0.7656764105,1.8682109393,3.1338925141,1.1700558889,3.2029541578,3.6766937864,5.7482513211,5.8461240887,2.6330371174,3.9824054638,8.8112406752,7.9528657228,3.1639839569,3.1501625658,1.7233335043,2.4049868389,4.2988922349,11.1602485455,7.0308204872,3.5620628500,0.5160622643,0.6209825750,1.3468524921,1.4989187332,2.0743116746,4.5944358329,5.7649927858,3.5482016618,1.6556144277,1.6402683739,2.4627458234,4.4489259094,1.6498007931,2.0914029875,3.3318539746,1.7501407499,4.5915651364,7.8594339552,2.6398466515,3.8779654374,3.2938019400,0.6768158047,0.1699659619,0.0026419492,0.0015897740,0.0020808610,0.0021802161,0.0010927313
sub-006C,visual,0.0249057558,0.0212208237,0.0015215934,0.0019203378,0.0285529422,0.3794810113,2.7414770733,5.3781910493,4.8079529990,8.8492748693,11.9201559624,6.3322492571,51.9369298370,23.2262018107,3.2352111509,6.2615926921,12.3830288348,6.9242264792,7.5194861757,4.1323604352,7.0982756371,3.7065955558,12.3089530169,5.6844183209,34.5724761513,18.4840913751,5.2978527203,0.9799235661,2.0081764477,5.4869533646,2.4332999731,1.5059894587,3.3021762797,4.8704175607,4.0568451204,9.6297057643,17.0769745491,8.9333980302,3.3643004091,2.0637319923,3.8458591941,2.0933911767,1.6854906117,2.3576526070,4.3058919995,2.3154719891,3.7833782026,2.0927192146,2.3265160536,1.4337694226,1.4835987774,4.7533924403,4.9730715792,2.5054139501,7.1984298484,6.3502554442,2.4124004268,2.3155206563,1.7073875758,4.7116855051,6.3326173474,2.0441396797,3.0475623289,5.3074700239,4.4802301177,1.9775943418,1.8807372666,2.2914899034,3.4265060271,1.9182545269,3.2564116069,3.9066378584,3.4727219062,10.1731695996,8.4504115108,4.2597012866,2.9345770984,2.4791891550,4.1341276475,2.8593407467,2.7930384635,2.3838228771,0.6172257769,4.3503112144,7.1778963283,4.4707795059,1.6433317211,2.2251414208,2.8541981446,2.3713373385,2.7052918687,5.1375739753,5.2225246060,1.3066399701,4.1602467829,9.4620970264,4.7628540995,1.5037626234,6.7047333992,3.2596461732,1.1470253573,2.5174968791,5.1827584267,3.8704638074,1.5873876988,0.7460257476,1.8495360270,1.5978392211,0.9512275139,0.6752211749,1.1894143988,1.5534025668,1.0614689383,0.7647554904,0.7595403024,1.7190058392,2.1972008417,3.2520037057,3.1932827613,3.4801148802,2.8972537599,6.3441607400,2.2034135672,1.2074087366,0.9437483688,2.3804009726,1.3387462187,4.0006912959,2.6974111681,0.3248086995,0.6439613990,1.1075852526,1.4430923815,0.8507511467,0.9184636244,1.2036193229,1.6663367302,3.3590814838,1.5926499843,2.7909019110,6.9637269910,2.3597437508,2.4278007888,1.6923551360,3.5394517612,4.3467377568,1.9340426456,1.3382470695,1.0467131225,0.2570643688,0.3353379753,0.0617040095,0.0025747308,0.0005187374,0.0004551799,0.0004857870,0.0002428626
sub-007C,auditory,0.0316790460,0.0280863465,0.0019489333,0.0029291661,0.0323166986,0.1258394553,1.2544338102,4.8062303520,12.8495658829,4.6938340253,5.6528311053,14.0420595213,37.4175649156,16.0156855402,9.1962055625,4.8619793681,10.4306828687,11.9041656137,6.6166285894,6.3149155956,2.2302467861,4.3269306806,10.9310061732,16.3747363988,4.9986569534,31.0975660268,12.3708814263,5.7257895014,9.5952739590,23.6541578423,9.6875189864,3.4874374945,8.0177329016,12.0919487358,10.4666440942,3.2315420552,7.8110341466,12.7754412500,5.0482457138,2.4531857312,6.6118025955,4.7851389047,6.0837371132,2.5341021119,2.0967560086,3.4856721638,3.0491716796,4.7227283332,8.5729930306,5.7887497498,4.0046054077,3.5182128444,5.6715887021,5.4786928645,1.1264587913,4.2808849414,7.0211570744,6.6843856089,3.5685775946,4.9812341185,7.5353527224,2.4686593613,3.6280953043,4.3932947754,2.6934885306,5.0119551061,4.1823357885,3.2496905510,3.9893913875,3.9532512772,3.3126553549,3.2210503861,7.3941706772,2.2293748224,2.0023964875,4.3132413517,4.2312160592,6.8494656974,4.6346053764,5.5563012932,1.5150627900,4.0657569709,1.9719704874,3.2345244641,11.1439785878,3.2094655362,0.5703116870,1.2954215876,0.5016485696,2.0121165233,0.8729321346,0.3686272634,0.8511481455,4.0126462842,4.8014590430,3.8729142859,1.8389954264,2.6428624815,0.4383859800,4.7724371676,2.5316338018,0.8842028722,0.7528815427,0.6443313712,1.7271249104,0.9937681164,1.1043731695,2.2649679776,2.2286865907,0.9996516221,1.9633589819,1.8569039255,1.3026717787,2.5224256287,1.4218058081,1.7772283776,2.1813588903,1.4699757097,1.2648439629,1.8751103521,3.7180975242,3.5896324196,1.7453193449,2.2343757990,2.2958543751,1.0245777338,0.6376821119,0.6434273268,0.9488911803,2.2618906642,1.9139060651,0.7975964669,1.3140133593,1.4994110623,2.7990759535,0.8821315503,0.9961585839,0.8071533790,3.0527920370,1.0784715780,0.7770413308,0.8375350925,1.6398567545,3.0189582878,2.1537066720,4.2033885403,2.0303036542,1.4913609532,1.2102038133,0.8835797720,0.4074117020,0.1730548813,0.0032925547,0.0027419899,0.0027353680,0.0027193376,0.0013537212
sub-007C,dmn,0.0291821028,0.0274385821,0.0016281231,0.0027316670,0.0624605448,0.2012216240,1.9896087052,4.5431520619,20.0363168134,11.6462494802,2.5883323721,4.0197004666,19.0927508468,11.4202722498,4.6225097647,3.3985646317,7.4921278893,21.7286263205,30.5658445948,10.1703141775,2.8915170390,1.9585297099,3.8615357968,5.1810575534,4.8239659206,12.5161263095,4.8615176796,7.3279188553,13.1585059414,7.8234021658,9.4032111296,1.8112390290,8.2600636527,3.9882322430,3.1746488163,8.4905344765,7.5264135747,15.4923130462,2.3636339611,4.6773414107,3.7773698279,3.6662604255,5.7547984196,6.4121883227,1.9313310583,3.2322466924,5.2337463161,8.4567922711,11.2024938664,9.7144299367,5.4139850157,7.5538346292,4.5863681883,5.5282837949,2.8476103854,2.4499496854,7.1657224418,10.7204260363,7.7725882162,3.7666354000,3.2809306404,2.8987049119,2.2891434611,0.8364632863,4.9192492551,4.9015767466,3.1709957114,4.7858096129,3.9792161515,1.2919221863,3.2138736036,9.8131252579,9.6914337719,3.6481186722,2.4631500927,4.4734255845,7.5451323228,8.1506369398,2.6120701821,1.0721914614,0.6973556067,2.0217783136,2.4256690123,1.1877452474,1.9589261665,6.2365289056,3.8209573124,3.4270694372,1.1635380660,2.3554849643,2.0894732868,3.5202997824,2.5727841773,3.0624934327,3.8406059791,1.3026068981,0.5068320876,1.9232546460,1.2693616984,2.8893725688,3.4292560419,1.3368359404,1.2041426372,1.1903823273,0.7963924200,0.4967830128,0.8079435851,0.9090776411,1.6437102002,0.4848340225,1.4331284505,0.9532290012,1.4047100698,1.2013771456,1.1914562738,1.2487621511,1.6403533877,1.6960611914,0.8042360938,1.2680808706,1.8730978645,2.2725440314,1.2212134935,0.7720260280,0.7701697761,0.2862630273,0.2380501340,0.7597361248,1.1380506344,0.7517446943,0.8134759962,1.7236775432,1.4201570987,1.2444431042,1.1849844669,1.2892710335,2.4175582699,1.2169871019,1.6657688285,1.1161264562,0.5971344394,1.2727118784,2.0782608005,1.3471878647,1.8670249119,1.8582876242,0.8988026617,0.3877984808,0.4036920227,0.4500716343,0.2870900565,0.0632399238,0.0041728390,0.0002171486,0.0001761583,0.0001772370,0.0000883641
sub-007C,fpn,0.0096880696,0.0083839248,0.0005197874,0.0066876304,0.1079198217,0.5678682813,1.7941107350,5.7924110917,4.4538453361,5.8602957079,2.2450267334,5.7482213790,12.5900373167,16.1197474055,7.9264755132,8.0352298777,16.3310185940,19.7613114221,18.6484850657,13.7535664269,10.2461235202,4.4226884556,7.4813314153,6.4315015959,3.4325750228,7.3547956672,9.3168189277,1.4586447371,5.9989633261,11.7416675613,6.3174701055,5.1906378150,9.1113256595,2.4157935213,3.9379779258,5.5999291474,3.0821965237,5.8322898405,6.9485840745,8.2703579556,3.0815233256,2.4681614714,7.8059520818,6.9829749565,4.0007589131,2.4886254203,6.7385756295,3.4366049926,14.4575893552,19.5977438171,2.7106366895,3.3630339585,6.9404416740,4.1074363433,2.0691650417,10.0265210145,15.4677886407,30.4268220660,22.7954453597,4.8020605574,2.9321044573,5.2026439901,3.5180934253,9.2546360591,10.0799915463,2.5358470777,2.6583775324,4.7094202193,2.0601219929,0.5998650381,1.8011712615,10.2722707208,18.2162970367,3.9969235805,4.7307355270,4.1128282906,3.4002446067,0.2778543529,1.5722082630,2.2310354290,1.3839340242,1.6634817346,0.9177021485,1.0463365924,2.5656273050,1.9428668193,0.7088342802,2.4587458877,1.9541272301,4.6396490131,2.8868745268,2.7260150044,1.7128765767,0.2335584989,0.5813341577,1.4905727194,0.6645473325,1.4468458900,1.2647215599,0.3578301146,0.7833257001,0.5934888131,1.2661032456,1.4742233937,1.0828853826,0.9061264462,0.6701518768,0.2255013126,0.7876101525,2.1740744960,1.0043228331,1.0673296094,0.7365814643,1.6032981146,3.5715638440,1.4037891504,0.8799744300,1.0318269083,0.9253786139,0.8680822207,1.7659259664,2.4874606723,1.4952331605,0.9081583864,1.9553558921,1.9963927507,1.3094537600,0.2866401259,1.5433165232,0.9869682056,1.1142624630,2.0911228425,1.2057348847,3.7406166283,1.4549358654,0.6474596186,0.4797600836,2.5590920949,1.5503740817,3.3975156249,1.4583397424,0.6976309560,2.7276586255,0.8833405654,2.6358542156,2.8836283325,0.4121257484,0.5076616686,1.0431631732,2.2776860165,1.0817097367,0.0395671907,0.0024169175,0.0008296979,0.0006618273,0.0006523337,0.0003255375
