subject,roi,freq_0.000000,freq_0.001603,freq_0.003205,freq_0.004808,freq_0.006410,freq_0.008013,freq_0.009615,freq_0.011218,freq_0.012821,freq_0.014423,freq_0.016026,freq_0.017628,freq_0.019231,freq_0.020833,freq_0.022436,freq_0.024038,freq_0.025641,freq_0.027244,freq_0.028846,freq_0.030449,freq_0.032051,freq_0.033654,freq_0.035256,freq_0.036859,freq_0.038462,freq_0.040064,freq_0.041667,freq_0.043269,freq_0.044872,freq_0.046474,freq_0.048077,freq_0.049679,freq_0.051282,freq_0.052885,freq_0.054487,freq_0.056090,freq_0.057692,freq_0.059295,freq_0.060897,freq_0.062500,freq_0.064103,freq_0.065705,freq_0.067308,freq_0.068910,freq_0.070513,freq_0.072115,freq_0.073718,freq_0.075321,freq_0.076923,freq_0.078526,freq_0.080128,freq_0.081731,freq_0.083333,freq_0.084936,freq_0.086538,freq_0.088141,freq_0.089744,freq_0.091346,freq_0.092949,freq_0.094551,freq_0.096154,freq_0.097756,freq_0.099359,freq_0.100962,freq_0.102564,freq_0.104167,freq_0.105769,freq_0.107372,freq_0.108974,freq_0.110577,freq_0.112179,freq_0.113782,freq_0.115385,freq_0.116987,freq_0.118590,freq_0.120192,freq_0.121795,freq_0.123397,freq_0.125000,freq_0.126603,freq_0.128205,freq_0.129808,freq_0.131410,freq_0.133013,freq_0.134615,freq_0.136218,freq_0.137821,freq_0.139423,freq_0.141026,freq_0.142628,freq_0.144231,freq_0.145833,freq_0.147436,freq_0.149038,freq_0.150641,freq_0.152244,freq_0.153846,freq_0.155449,freq_0.157051,freq_0.158654,freq_0.160256,freq_0.161859,freq_0.163462,freq_0.165064,freq_0.166667,freq_0.168269,freq_0.169872,freq_0.171474,freq_0.173077,freq_0.174679,freq_0.176282,freq_0.177885,freq_0.179487,freq_0.181090,freq_0.182692,freq_0.184295,freq_0.185897,freq_0.187500,freq_0.189103,freq_0.190705,freq_0.192308,freq_0.193910,freq_0.195513,freq_0.197115,freq_0.198718,freq_0.200321,freq_0.201923,freq_0.203526,freq_0.205128,freq_0.206731,freq_0.208333,freq_0.209936,freq_0.211538,freq_0.213141,freq_0.214744,freq_0.216346,freq_0.217949,freq_0.219551,freq_0.221154,freq_0.222756,freq_0.224359,freq_0.225962,freq_0.227564,freq_0.229167,freq_0.230769,freq_0.232372,freq_0.233974,freq_0.235577,freq_0.237179,freq_0.238782,freq_0.240385,freq_0.241987,freq_0.243590,freq_0.245192,freq_0.246795,freq_0.248397,freq_0.250000
sub-003P,auditory,0.0245628058,0.0190761509,0.0010391931,0.0034151461,0.0252882608,0.1683923387,0.9271639519,9.0096021562,12.6054797016,11.0689942245,5.9357767443,18.6877720156,11.9127866624,6.5767259702,4.6493735485,9.0711612651,10.7126302089,9.5828568889,5.0738279606,8.3788210586,7.4786295505,3.1402549348,3.3329247815,3.9761229126,3.3447362961,5.3980040739,10.6211063232,17.8934443811,13.0245585955,7.3419289651,6.1105525268,7.1486991403,5.8854969137,4.8041690219,6.4569901876,6.4509793748,5.4900900913,8.4889867835,8.7194731555,5.8123489812,10.2506059207,8.4637455796,3.7221542637,5.8086606637,4.3856736259,3.9423688593,5.0913662967,13.0052350402,13.2193138384,3.3565682817,6.9964143104,8.1851321311,3.7574715071,5.7635872938,5.6131193422,3.2550484031,2.2256469782,2.5829969626,2.4289251727,1.0538812439,11.4561198563,10.9386129325,1.4343415543,2.9076460399,3.5037964265,6.4554141924,5.8992783031,3.0574292554,2.3229607575,1.9571763536,1.5182105492,1.2811191144,3.4370620107,3.8626109672,1.9762741313,2.6429978799,3.0109669407,4.1183690747,3.7543156014,2.0919581558,0.8754708533,2.9481308673,1.6948494071,4.5086108385,11.9033661040,7.4672140734,4.9330382418,5.5963918923,3.4103022461,3.9074517645,3.1565447527,2.0026877862,2.6282637703,1.8114629300,2.8241033915,4.0273930754,3.6167329129,2.6054303283,1.4676161054,1.1871572356,2.0791047852,1.7619268713,1.8462343817,1.3171631076,3.4519865860,5.3031977608,1.2858725244,1.6497651241,2.2556475074,0.7562439244,2.2558770269,1.2748431172,4.4739718708,4.2533916529,2.3824222776,3.3785408457,5.0388509964,2.0657276456,3.4540567271,3.1796767526,1.6004798299,1.3337202578,0.9323965818,1.4145742806,1.4683530496,1.1779552744,2.1065898347,1.9875407984,2.9010306194,1.5600806333,1.6101378826,1.4715831245,3.0865248616,2.2791317537,2.7161604627,4.0643882648,3.8372124516,2.6643019160,4.2714730442,1.8566041214,1.9625966542,0.6725133728,4.6726173997,3.0862346402,3.6664839601,8.9589279857,4.7389712371,0.9272030626,2.4562059535,3.4629753953,0.8508500394,0.1256877298,0.0088102384,0.0025182454,0.0025234384,0.0024639227,0.0012247524
sub-003P,dmn,0.0458023154,0.0374749389,0.0023416648,0.0042419089,0.0683484510,1.7703193219,8.2035634339,9.7409227270,7.9509798988,6.4680028948,25.7724355755,15.3264487672,10.2411691658,4.0680093292,6.3566848886,3.7053087951,1.4539425580,3.9512724408,12.6914140721,14.0658572017,8.3247274688,7.3897729867,6.8563285911,5.0783109592,7.2209588450,12.4596214328,9.2406436785,4.6518685562,4.7462763917,4.1115733618,7.0007033543,2.8926454396,12.5587880690,28.7182070055,11.5440886446,12.3655834539,22.6777199499,1.6578347679,12.8916186172,4.6839576491,5.8585804324,3.4051926045,7.9990922597,12.3488024734,6.9356507772,7.2251069956,14.3502509698,9.6834694466,8.5528968406,5.3371965080,6.7039139033,4.7026214463,3.7169001982,1.7893780070,3.1068150938,4.6485408637,0.8848831704,6.1768325724,3.4808809336,4.2804003902,6.7905757602,2.3819921020,2.7857452014,1.8046979808,0.9703130472,1.4577530125,1.7767990302,1.6107769479,8.4655954519,11.9577905068,4.8472447332,3.5497209151,2.1794868846,4.6876475222,4.3030052785,1.9601859728,3.8033848248,4.6745178163,2.5448026544,1.6533722027,4.1680905920,4.2840384004,0.3024051518,4.9817885513,8.1367035653,4.2257785153,3.6308793157,3.0272173025,0.7165277139,0.8349078247,1.0263482572,0.6843572327,1.6769040580,1.4123109015,0.7044003770,0.9741807612,1.7654559396,1.0420949121,1.1139636059,0.9462370067,1.3831329433,0.7717715339,0.8140545164,1.2364983186,1.4045801437,0.6879934446,1.1836700413,1.5395661458,2.4014289086,1.8855260345,1.1775182830,0.6183009543,0.6587635525,1.3380593976,1.2331968448,0.6474954080,0.9707421570,0.7343650165,0.5610709446,0.5039348567,0.6935877423,0.7830085651,0.5803143074,0.3005736512,1.1296017188,0.3365211097,0.5433111344,0.7549040820,1.3197204872,1.9517591357,2.3581473913,3.0507504830,2.1891463057,1.6201500719,1.3463820384,0.9918056780,0.4735031174,0.8880976098,0.7918179097,0.4743062644,1.4788695291,1.2812080995,1.1716368029,0.8030116961,1.7169877438,2.2793980848,1.9039678372,0.9471729291,1.6558747892,1.2757675089,0.1744627298,0.0202489183,0.0033540052,0.0025377559,0.0024966219,0.0024492252,0.0012158313
sub-003P,fpn,0.0014851657,0.0014280769,0.0002699328,0.0012907763,0.0109713427,0.3544596468,2.0221332187,5.0441311641,8.9604890318,10.1509612189,21.3434048185,26.6483635291,20.3810532277,17.2141197222,5.6045415093,2.8604702374,12.8184676031,5.7489074763,12.5603970444,7.5554533566,3.0397293390,6.6506333816,11.9203886919,5.3396000984,9.1704047446,3.5697668901,5.0348756475,17.5727640854,7.7228929316,2.4342155976,5.9634036099,5.6360723774,6.0969757908,4.3101275905,2.5217277041,3.3082183322,16.9316438511,5.7237356301,0.7202821546,4.8325903353,8.6718041824,5.9696591542,6.4942593620,2.1830564457,5.8168988211,3.8481384349,4.6469628372,12.1498101822,14.0587750974,8.2161098615,5.9873924410,5.3136371529,3.4814014652,12.0595067110,10.3094735746,9.5281817535,4.5922792825,7.0206612919,1.8837821214,3.6619063559,2.2285110539,7.1340968225,9.2531892822,6.2966708779,2.7521809923,2.3736490515,3.4173356296,1.5475802206,2.5078181860,6.5014163741,8.1998205362,3.6112363515,2.1098052460,7.2220331692,1.7604032257,1.5494696470,2.6319961969,5.7132246063,3.6622045993,1.5588617513,1.0751177044,1.5713834457,0.3951515469,1.9921154650,2.9092283505,4.0990419477,1.4814639961,2.9282924620,4.8336093895,4.8891255764,3.1016067291,2.0282269847,2.6447798513,0.7787451789,2.5744156950,0.6823203331,3.8858930729,5.1629241460,4.4091389515,0.6263807244,1.2295494688,0.7762433082,0.7722784755,0.7859045684,1.8607863933,1.4855498824,1.2993237532,1.0997753640,1.5288197782,1.3125562241,0.3910001384,0.7852473250,0.2644071168,1.0519934822,1.1769325461,0.9687566162,1.3518729059,2.4047891711,0.4716439980,1.1647602983,1.8035029531,0.2939971159,0.4811241824,0.7135759566,1.6541207165,1.0566762474,0.5851229798,1.4433440532,1.6530061894,1.2795746210,0.6606848215,1.0433258995,1.4002560432,1.0182706593,0.5857450876,2.4186330934,2.0371452403,1.5466231803,0.7139528691,1.2468644310,1.3749115980,2.1804115665,2.5099903199,1.7153113072,1.1139138462,1.7972869135,0.9352088473,0.2849049810,2.3540261484,2.4785596267,0.1651325710,0.0994307295,0.0090970355,0.0046279747,0.0039168606,0.0038136096,0.0018897819
sub-003P,limbic,0.0239073045,0.0241095243,0.0022926393,0.0023682078,0.0399466217,0.8590911565,3.2686753727,2.2178693632,1.5206369328,14.8220296367,20.5423073360,11.3736309274,8.7315106402,3.1946935734,3.0536083747,2.5456685121,6.7120857349,3.0320624046,1.3289340501,2.4240646631,3.0608847314,4.3467253068,8.2961503762,11.1447579817,5.9494063017,5.2904837021,1.4848709486,4.7652752871,5.7748962677,9.2530779220,12.0911164249,10.8202828937,7.1081491002,12.9128251799,10.1060503117,7.8184250937,3.0095907552,7.9461388750,5.4612061398,4.4023050380,3.2931702512,6.1537328807,2.5005003008,8.2426851187,7.6054200203,3.2251228935,5.5909685872,16.2817066673,21.2406404187,6.9500162019,1.6470981596,3.0699328286,6.8731627674,7.5404449217,13.2253755301,5.9818215150,1.3517196020,3.4700930070,2.0826966732,2.7298139555,2.6240930940,2.7977873227,1.1906527847,2.3993025995,3.9862362693,6.7696790068,7.0589108213,4.1970293258,7.1415540178,3.1469606254,3.1740760745,9.4689151874,10.5368707757,4.1103861497,4.8218220150,2.2671259341,2.6678668434,3.6151252176,2.3131698207,7.7751693994,10.4038046176,8.0460589543,2.2866247468,1.1996341650,1.3955914234,1.0169614589,0.6116323552,1.4911432316,2.9700230063,3.5075505908,3.7443457427,2.8602144284,1.6306358494,0.9975802923,2.7776609534,5.5746229018,3.9089708733,2.0273103927,1.7630351146,2.2956186514,0.9591617630,1.3733047737,3.0814553793,6.4020307600,3.5169091905,2.1597644026,1.0585273059,1.8946394168,4.7298566009,2.8927578236,2.6545575090,1.4762043609,4.5626413491,3.2555461707,3.0491014578,1.7561820330,3.3002000429,1.1195086316,0.6435468312,2.1327697604,1.5353459620,0.6876974176,2.2488359060,1.1365542061,1.9647262041,1.1213395083,1.7153547374,2.3894180973,3.9801090749,2.8029302070,2.6324068175,5.9693543248,4.1458803476,1.2819087488,2.1051231349,3.1544798442,2.5932899231,3.1454087447,0.9793669555,4.1854926960,2.7663442163,2.4570086674,2.7556226998,3.0880976748,5.4672991132,11.0624452156,7.2799260397,2.4099543617,0.8667218919,1.6214677062,0.3155089786,0.1095275711,0.0047373325,0.0002333792,0.0002427187,0.0002303493,0.0001147190
sub-003P,motor,0.0099092760,0.0089197307,0.0004513128,0.0009995554,0.0174442470,0.2361542128,2.0717220860,7.0637818935,9.1162722526,5.9925598885,9.8857574371,11.4390263430,51.9405314945,14.1701373062,2.7791514411,3.7323475043,7.0782526417,12.0496744085,7.2274797997,1.9141354065,5.8691898973,14.8191902486,10.3628840088,17.2098033059,31.7234490453,14.2852911014,3.9604435677,6.4503309543,5.5973791452,1.9814734040,3.5922205103,2.4426317386,6.2806235158,6.6802076288,6.6472247179,16.0292923810,27.4757445395,6.0390667881,3.8740656703,2.0624121732,7.1596557340,8.4721692504,7.3464182882,3.4467584577,3.6437149271,3.3417291528,5.1493546019,7.1599580904,12.2150105661,6.5615745202,9.1854226116,15.5320353419,5.2510449033,5.1259653551,5.2889267662,3.9955235950,3.2225298421,6.8150578914,1.0898820208,0.6515426663,1.7087480853,3.3016696875,1.4737144559,1.9727185167,2.0300374891,3.5950104893,4.2941957591,3.6974536301,1.4207046636,2.5585756070,3.7189756005,3.3186125085,8.0945978650,11.5926422651,1.1726493726,1.5809499267,0.7500044491,1.4590827814,1.2509483942,1.0967886163,2.1758674997,0.7236415405,1.0036594110,2.4272311541,5.4696340718,10.2551126753,2.8707023741,3.0618749261,2.6143163979,2.9217032046,2.2242474290,3.6849670294,1.7098280012,0.5040650351,1.6486081968,0.8322615625,1.6919218847,3.7838691746,5.5324018096,2.4405759587,1.0896545373,0.6463325088,1.2169380222,1.4838514550,1.4114474775,0.9227504341,0.6254981854,1.3922720324,1.1747408536,1.0744506080,1.1557912572,3.3657483371,1.3813400345,0.7783071043,2.1879651915,3.2234700337,2.3172097868,1.3213499443,0.9517811435,0.3622778606,1.7398092297,0.3671446090,0.7510699484,1.1431860306,2.3265509535,1.1143488898,1.6355812241,1.3258645054,1.1764293267,2.4904975721,2.2418361104,1.5691292980,1.0261472531,1.2953257148,0.5539777616,0.8822566565,1.0362777723,1.3943337880,2.1688779972,2.3395870128,0.9935805591,0.4591616577,1.1264654808,0.3143090839,1.5786991316,1.9815814430,1.2798534835,0.9678386468,0.6190302495,0.5883904901,0.2403543222,0.1101566860,0.0076218413,0.0031971874,0.0025937529,0.0025483393,0.0012652382
sub-003P,salience,0.0250694496,0.0199305945,0.0012261586,0.0026789325,0.0222043175,0.7815527617,5.4637494383,4.6757679568,5.4527254697,4.9243018816,11.8881698096,12.1449069680,3.8075542451,3.2458798585,6.5058681364,5.2900300448,1.2388013552,4.7132682293,1.6997705672,4.7698000734,1.6844096485,1.4627840610,2.4408219646,4.8664865524,4.2292550421,2.7066347496,5.9506432651,9.1173364364,4.0713516270,2.0301845280,3.4539360330,2.2255741452,5.6883229660,5.8954911370,4.7644992878,3.4559772910,5.0249008757,4.3523640246,4.1234658211,9.8569164072,8.0777675846,6.1284489316,2.7842634915,8.3226507774,6.6886962752,7.0604614139,5.6629007469,6.7847368580,4.4100622933,8.3977531821,9.1360822052,3.4881096089,2.4911294245,5.8115668341,2.8529538390,1.2204360664,1.1383395328,2.5649684671,2.2649325602,2.7281161066,11.3094854814,5.0876627897,2.8437100160,3.3305764864,4.8004035497,1.8492701424,3.8889963211,2.0332033611,1.3782725255,3.3645503486,5.1447688941,2.9624418307,2.2792667161,3.2060364498,3.2030211315,2.7305977607,2.5823864726,2.3869158842,2.2850919873,0.5453729951,4.8972152980,3.2937963993,1.5951943477,4.4854544940,11.4008358223,4.2939336849,5.1941456585,6.0898215291,7.6757134894,4.8123959919,3.3075485068,2.8265321018,7.4658372520,4.3769830960,3.8715308634,3.4502876439,2.0428892739,3.5143107839,5.1381534831,0.6662542616,2.9069559848,0.4139640595,1.2281470869,4.9665670235,3.0091730956,1.7677946332,1.5294666721,4.6098284140,5.7307693379,2.6239664317,1.0211256377,1.9486893180,1.1368801563,1.5757752971,1.9353377985,1.4716835444,4.1289650903,2.2960139816,3.4016328911,3.2049036553,1.4134133387,2.1349940979,1.4931802549,0.1628021042,1.1028848169,1.1725956655,1.3092771532,1.5962849854,1.3810649886,5.6019525878,6.4254937397,1.2867139935,3.6548580369,1.6784677925,2.4896094748,1.6534789168,4.6337339421,1.3327958772,4.6174836834,2.2256166347,1.2071586865,1.2754613156,3.5443552780,2.8005967898,4.6887188789,4.9029484656,1.6840657883,0.3547123324,1.0072749612,2.5940315578,0.7679706674,0.0550842537,0.0048742208,0.0019438558,0.0023478386,0.0023470896,0.0011668396
sub-003P,visual,0.0091848320,0.0093577453,0.0008599195,0.0021341024,0.0201964753,0.1033849085,1.2989921647,2.4638573139,2.9958629006,6.5728818774,14.9811729898,9.4191425045,56.5999599683,7.9468477634,7.6107223833,12.9950951448,16.1942201336,8.1677009081,5.0032308633,6.6776266279,4.3372621681,9.6258821180,4.9452452413,13.6541417139,40.4315352421,7.0084144495,1.4003992922,6.6271276960,8.7144330222,7.6695671303,7.1527268164,5.9369662438,12.3582846849,11.3871206818,9.8565838378,13.7307039932,25.7255980012,4.4221849934,1.7955227418,3.1845071057,7.4259183071,9.6272961073,4.4910031919,1.9127766878,4.3560889374,7.2827452243,9.9593555849,13.1151082114,18.7431937951,8.2535897185,4.1150578117,4.5323210035,3.7797591832,3.6936102218,3.1841351535,0.8144237616,0.9904341487,1.4619029758,1.7245745711,1.6085593008,1.8386397158,5.4905242520,2.7893752979,8.3591576466,8.2521434948,5.8344050160,6.3026629884,3.3024015860,3.4377333901,1.4919512036,1.8209301526,5.8308588145,20.2918582200,15.6180937179,3.3702471584,4.9819561365,2.3287598907,5.8568359002,5.3025014644,1.8192906087,2.7138342471,2.1873135889,2.4443091657,5.1312175054,15.1200527760,4.9919920671,1.6787234029,1.4857348247,1.6993299687,1.6746358186,2.0234607465,2.4423976881,1.3566327902,0.5155295897,1.3232025114,0.9493284230,0.7348141650,1.0993413668,1.1154890189,0.4740087665,1.0447804893,0.5354389036,1.4030826945,3.2697730314,1.5111675878,0.6139788641,0.5165951554,0.6722415565,0.5315999945,0.2696567440,0.6278508731,0.9367880162,0.7358600595,1.4406791593,1.3391361758,0.4590580829,1.9160402078,1.3492898583,0.8411444428,0.9489093844,1.4406524859,1.0589165420,0.6860365751,0.9592732182,0.8530150266,0.5572781992,0.4561501148,0.9590583155,1.5275978820,0.8243302273,0.5028963633,0.8288180397,0.8454160497,0.4476904741,0.6756454182,0.5048848569,1.1352264443,1.2043760287,0.5948913248,0.8273007263,1.3506083644,1.6853546318,2.7795965024,1.2247115665,1.3018597333,2.7374930225,2.5877738594,1.3093654626,1.2645256676,1.2026732194,0.5872290645,0.0601491485,0.0041952797,0.0012354148,0.0015356375,0.0014989110,0.0007431793
sub-005P,auditory,0.1078520768,0.0968054796,0.0073899818,0.0096365727,0.0114955228,0.4671665820,3.0578628217,10.2723653926,10.1434199044,0.3445674776,6.3408322627,5.2304475356,15.7734763037,6.2561189250,4.0531788781,2.7799632783,2.5539086521,2.7030565059,11.9268532516,14.6679963044,13.0349657271,1.2479990308,4.6470031307,10.9761987599,4.8441852571,4.0960536374,1.4697716432,5.6118109540,13.2394844704,3.8634056364,1.4885999423,2.0215641195,2.4409533942,2.9001303467,5.0933970532,10.6303272063,14.1530112804,7.5518790332,10.4763343416,2.1382545432,2.2515340776,2.5380585328,3.2624089881,1.5460991289,2.9368221979,6.3173363055,4.7408429954,1.7855608248,2.8916096484,2.7420247397,3.0391764024,1.8183238448,2.2707909593,7.1042417893,4.5009604104,3.5873559959,2.4500988933,3.5939884392,3.2560410981,2.9851498193,7.4711461140,6.9207181083,1.3141869500,1.8364063863,1.5868035343,2.4805151164,3.8866014568,4.6883068703,2.1111888029,1.8083377018,2.9346476985,3.2103425315,6.4926676060,2.2563353952,2.2586262398,3.5296752288,1.8694330258,7.2511348816,6.1980017726,2.3606705117,1.8680288396,2.0588520313,3.6585702287,5.4435218431,6.8551160036,1.7814114001,0.7976469132,1.7624008669,2.8920250785,1.0970252243,2.8031382965,2.9964237536,3.8794682408,5.4764672086,1.1970797127,0.2392720922,0.2110764973,4.6887157755,2.7036924773,1.0746128333,2.9979668188,5.4139697646,3.1129173163,2.3040658708,4.6757102958,6.6853501943,4.6233777606,8.0028264436,7.3920012378,1.8487300954,3.0997964507,0.2765693138,1.9415748699,1.8726590990,6.9439311421,8.7705734891,6.4555495056,2.2391798418,2.4073757056,3.2893230343,3.3336069261,4.0916379278,5.6802525383,6.8635832458,12.0948743018,3.7419910883,4.4093544009,3.3817071490,1.7693484876,4.0547223872,3.0546675659,0.8380554623,0.9515240875,1.5190014656,3.2170754167,2.0065560389,2.2893966449,3.3592662450,4.1504353505,0.8481046423,9.2128695093,17.1278744311,9.8347454685,5.7572347569,4.1550646031,2.6629368005,1.7156422059,1.5580760638,1.7852208337,4.3160715897,1.5254903697,0.1306459198,0.0031485488,0.0018000646,0.0015432733,0.0014653675,0.0007201567
sub-005P,dmn,0.0391425493,0.0361647259,0.0032550964,0.0031746771,0.0241774856,0.1925783498,1.5458880108,9.6634241899,6.7622077437,9.8888091953,12.5427097538,9.2272097448,8.7548005731,9.8642359361,17.2192563592,22.6478824051,5.8735392250,4.1628254481,6.2510096832,14.5759459338,13.5940501301,9.2068166658,3.3082193827,5.7954086962,9.3843146664,7.3030306187,4.0521901415,4.5692385250,4.1917718592,5.3157112136,3.9991428675,6.2473079463,6.0481036703,4.2421528702,4.9302160392,4.5852862428,3.7402129942,2.2908319127,3.7007279682,3.0702598782,5.6326215650,7.9629080146,6.1097051035,9.4246964497,4.5845879440,5.1485986729,10.1761319410,7.5225075944,5.5452950053,7.4016184715,1.4508416094,6.7936362617,5.4851075146,3.1871118418,2.5968151270,1.8209174691,5.5329365071,4.4728992575,1.1844170968,1.1551599254,3.0985193084,3.8568978706,3.7601392954,2.6510775400,3.0573005459,4.0754923523,2.8746825541,2.3738611974,1.5384168190,2.5114770130,2.0937461406,5.0874297949,6.3926959118,3.7319150919,2.6941250053,1.6044635541,2.6805706583,1.9688498995,2.5583881891,4.7209253420,2.7251065939,0.6109167861,2.4232649782,3.8864374853,3.5138163543,4.1884520394,2.1295524014,1.5522901819,2.5127562169,2.8945357121,0.7840429695,2.0290679481,2.3210195968,2.5580485573,3.2770586656,5.0424784754,6.5278640576,1.5699488949,2.5209170079,3.1979677991,1.8051942533,2.5149481978,4.4147570331,2.6928608032,1.9102838939,4.4566044922,3.5134221662,0.4815502169,2.9941320715,2.4407387337,2.7657637748,1.8349816151,1.2669882883,2.9763538037,3.2514040672,1.2191626247,2.4681035856,2.2003291061,2.2164015169,2.2848624347,2.3558923820,4.0204687642,2.6860289971,3.1676519359,6.2373097268,4.2150834584,0.7773069574,3.8697096262,0.8242993435,3.0508333356,4.9662036704,1.3516479713,5.2172386256,6.5249593401,1.0347637848,3.6764034802,3.0715852735,2.5431307988,4.6663293119,4.9741185898,3.8320730023,2.8019902091,2.0452376184,3.5784677221,3.5965232828,0.6821927346,0.9344719253,2.5658927965,1.3228133408,1.1106818099,0.9044900258,0.1071588712,0.0104007205,0.0017458231,0.0015460480,0.0015432909,0.0007711029
sub-005P,fpn,0.0054355968,0.0042912257,0.0004764438,0.0016243686,0.0177737499,0.2898083337,0.8398426898,5.5795407475,13.5784977534,10.6388501029,10.6313067759,2.3719070757,7.9873779675,4.6821079264,10.1806641394,11.6754629552,3.9823620697,5.5437553820,1.7222156200,5.6739336827,9.8115230101,13.6352443610,5.9845091419,7.8251504661,9.4351251503,5.8861396607,7.2703590802,3.5700660666,6.2717799182,5.6912395657,3.7523743634,4.1101225693,4.2437082077,4.7806450676,8.2763372662,3.5229853119,2.7449216617,1.4820688264,4.4134491130,5.5994978186,7.9869258577,9.6690256152,5.0536437506,4.3488733648,4.7419567982,2.6294303317,12.3978351517,6.2533328048,9.4405958289,5.3585348443,3.8418159176,2.9153808379,2.1668604748,3.2313356566,2.1652148118,3.9830866801,4.2642469598,3.7263333864,2.5538966882,2.8437812302,1.6637824732,2.2425999903,1.6103465110,1.1736878514,2.9650818912,2.8966617099,2.4053620904,3.0164852561,2.3121831997,3.6607322763,4.3082575976,10.3877990514,15.8497585796,4.3770824081,1.8308712486,4.6427244987,1.6619658439,2.7248634959,3.2873364612,2.0752681768,2.7805866865,3.3452280663,6.4408015986,8.3502956150,8.6182503742,5.3359932591,3.4067532022,1.9712379660,3.1610861541,6.0417337506,4.6639971955,6.9433634515,5.4642201468,4.1323421316,1.7026949044,1.9646861547,3.9495178138,1.9122831206,0.6457117129,1.3517239196,3.4856009732,3.1736586699,3.8870614313,2.7951471012,1.5383793633,1.9807659593,1.6046194152,1.4115531516,2.2506409661,0.9999415770,2.7047773195,3.6328036945,3.2737764161,2.3173557014,1.8374907647,2.1251323268,2.6862180149,2.2731089678,2.0701282288,1.9203180150,2.1359953712,3.2404222904,2.2642506925,1.9994873803,3.5250070419,2.1654629726,0.9923046290,2.2563251993,3.3501223778,6.9491855704,5.4410399272,6.1342349755,6.4221865960,6.9133276532,0.6592731788,5.7918788290,7.4822787253,0.6867301187,3.2469017362,5.3157177226,3.2457660552,4.2316079100,4.2185511516,1.7845008411,1.8469327310,0.5495572454,0.7976928692,4.7607106696,3.0155250998,0.9896670442,0.8707629704,0.1170255417,0.0112010395,0.0012606488,0.0008351077,0.0008496452,0.0004252490
