subject,roi,freq_0.000000,freq_0.001603,freq_0.003205,freq_0.004808,freq_0.006410,freq_0.008013,freq_0.009615,freq_0.011218,freq_0.012821,freq_0.014423,freq_0.016026,freq_0.017628,freq_0.019231,freq_0.020833,freq_0.022436,freq_0.024038,freq_0.025641,freq_0.027244,freq_0.028846,freq_0.030449,freq_0.032051,freq_0.033654,freq_0.035256,freq_0.036859,freq_0.038462,freq_0.040064,freq_0.041667,freq_0.043269,freq_0.044872,freq_0.046474,freq_0.048077,freq_0.049679,freq_0.051282,freq_0.052885,freq_0.054487,freq_0.056090,freq_0.057692,freq_0.059295,freq_0.060897,freq_0.062500,freq_0.064103,freq_0.065705,freq_0.067308,freq_0.068910,freq_0.070513,freq_0.072115,freq_0.073718,freq_0.075321,freq_0.076923,freq_0.078526,freq_0.080128,freq_0.081731,freq_0.083333,freq_0.084936,freq_0.086538,freq_0.088141,freq_0.089744,freq_0.091346,freq_0.092949,freq_0.094551,freq_0.096154,freq_0.097756,freq_0.099359,freq_0.100962,freq_0.102564,freq_0.104167,freq_0.105769,freq_0.107372,freq_0.108974,freq_0.110577,freq_0.112179,freq_0.113782,freq_0.115385,freq_0.116987,freq_0.118590,freq_0.120192,freq_0.121795,freq_0.123397,freq_0.125000,freq_0.126603,freq_0.128205,freq_0.129808,freq_0.131410,freq_0.133013,freq_0.134615,freq_0.136218,freq_0.137821,freq_0.139423,freq_0.141026,freq_0.142628,freq_0.144231,freq_0.145833,freq_0.147436,freq_0.149038,freq_0.150641,freq_0.152244,freq_0.153846,freq_0.155449,freq_0.157051,freq_0.158654,freq_0.160256,freq_0.161859,freq_0.163462,freq_0.165064,freq_0.166667,freq_0.168269,freq_0.169872,freq_0.171474,freq_0.173077,freq_0.174679,freq_0.176282,freq_0.177885,freq_0.179487,freq_0.181090,freq_0.182692,freq_0.184295,freq_0.185897,freq_0.187500,freq_0.189103,freq_0.190705,freq_0.192308,freq_0.193910,freq_0.195513,freq_0.197115,freq_0.198718,freq_0.200321,freq_0.201923,freq_0.203526,freq_0.205128,freq_0.206731,freq_0.208333,freq_0.209936,freq_0.211538,freq_0.213141,freq_0.214744,freq_0.216346,freq_0.217949,freq_0.219551,freq_0.221154,freq_0.222756,freq_0.224359,freq_0.225962,freq_0.227564,freq_0.229167,freq_0.230769,freq_0.232372,freq_0.233974,freq_0.235577,freq_0.237179,freq_0.238782,freq_0.240385,freq_0.241987,freq_0.243590,freq_0.245192,freq_0.246795,freq_0.248397,freq_0.250000
sub-015P,auditory,0.0014534645,0.0011622983,0.0001540407,0.0019794273,0.0552060349,0.4969782100,2.5679000580,4.7353589452,5.8150905944,9.6456163342,1.6931794672,8.6704340998,33.9127961563,5.1476568713,5.9941408738,3.9657066449,2.7404776876,3.7037600671,7.8812786808,4.8511156548,2.2006622754,4.4799061930,1.7550801081,1.3607662884,4.0009584467,1.0485156395,2.9636967338,13.9183625420,12.9618740499,2.4742930035,11.4321725472,11.1944930716,11.5007041092,14.7240513976,13.5260094725,6.7029579029,3.5603923189,7.0760113946,20.4340417655,14.4792666416,7.1855248867,6.8978051098,8.2491873040,2.3274500740,4.8285023428,3.7838053766,5.3644961308,12.2689617443,11.3839104388,3.5925012890,2.2177149797,2.2200702482,5.2211190381,5.6292179457,3.0691316542,6.2357512817,2.6733831444,2.3887413042,5.5531586384,4.1097032760,2.8652759958,4.5490901939,8.0207789904,7.9991346032,4.0686647052,3.5219753941,1.6949912787,1.7922444559,4.1393089563,4.9272799576,2.5691944062,4.6188317878,4.4697734308,1.6937983587,3.4330378379,7.8604477664,5.7959917088,11.6836997440,6.1429560559,0.7512838381,3.2741868028,2.6031051189,1.3783367578,2.8301748144,6.5396386172,4.6039493823,2.8247817259,2.0870426197,6.1830958147,2.9631809516,1.6087263960,2.5157892852,3.1192681362,7.0261049256,4.2448303088,1.4047978545,6.2295132981,6.1331870560,2.6063063566,6.2630292455,1.8753717577,5.2364659037,0.4020617825,1.0091998926,2.6075884001,1.6345435220,5.7614987691,7.5238848005,5.8720588429,4.0178385433,4.1962438202,2.5043986227,4.4075268870,4.7248644100,2.5888866166,3.6726230093,2.2253904192,2.6424039818,2.0901576158,2.1147507126,2.7553468817,2.4780763907,2.2608567038,3.3071512713,4.9908324781,3.3105429740,2.9649978979,2.7904163394,3.8589453826,1.5467914870,1.1635552223,1.9618819398,5.0451145217,3.9942957067,4.1188673587,9.1341329623,5.3652721268,6.2240485045,5.1562539380,2.6910126778,1.8580396583,2.8728152053,7.9012466943,5.8623861594,3.5298164880,5.5621571149,5.5901252374,4.1694328096,0.9979510827,1.0794260765,1.7242296251,0.4736521794,0.0101639005,0.0004631072,0.0003046184,0.0002980544,0.0001485633
sub-015P,dmn,0.0180021350,0.0159699604,0.0013797754,0.0026782656,0.0662741374,0.3102559719,1.0415565932,4.9710296291,5.9429425210,3.8817407635,1.9976772691,2.7962862430,12.6897117983,3.1807161813,7.1275957690,8.9129771729,11.8674028033,4.7124634890,3.7477165140,2.7050827574,8.9214614589,14.3967909658,5.8999046257,6.4829837332,11.1638829928,10.3960885779,10.6366375069,19.3032947435,9.1579004976,6.1442394394,6.7414049288,5.9200370424,7.5931969066,10.8606444305,5.9585825797,4.2720591513,3.5600499702,2.1783990490,3.5142824703,7.8003826966,3.8117447185,13.8983977294,11.5439962681,4.1784363461,3.4669957779,4.3679299057,5.3741999896,8.0835199180,2.2368064764,8.3553688010,7.4793542478,3.4340721800,5.9479183518,3.8129525728,6.4834183772,8.4819106689,7.7689577986,6.1229768362,5.3935104803,4.7716577346,4.4293534227,4.7248306799,2.2511550618,2.1260968234,2.8738582668,3.3059760726,5.6478073621,3.7908680262,3.1807943888,6.9659886614,9.5085913134,3.7263953445,4.0376821867,5.2726877287,5.4487237706,4.2177869320,3.2036940246,4.8653455096,6.6089114673,4.2416633433,5.8883889894,4.3110090255,2.5544875080,2.4442919330,1.0515880231,1.9199206258,5.1726543515,3.4772746138,0.6728249333,2.0390096106,2.3516877127,1.0706962452,1.8088422106,2.4461752118,2.0562841054,2.5388700808,1.6323562606,2.4986839384,3.3398829281,5.1511229627,2.2639321388,1.3760521500,2.6042664369,3.0060652639,1.4152155064,2.6551223546,3.4264605705,1.3741653352,2.0736678261,3.2591337166,1.9807338063,2.8654126290,2.0817858134,3.2386043340,3.1818606429,2.6236033082,3.6614605106,1.6989033487,2.1238945254,4.6142584465,3.1611440595,3.6154569735,3.3125565058,2.0149780918,3.1393009598,4.1297980383,3.0574346287,2.2627399635,1.7457645848,1.5918712144,2.3982148787,1.9343004835,1.1829670194,1.5374701270,2.0888903303,2.5948884057,1.9114949347,1.9472696338,1.4729415497,1.4458746047,1.2591168927,0.8501362516,1.7228222726,1.1451262877,1.4558123790,1.1583510720,1.4929862310,1.0791854881,2.6663449877,1.4117856283,0.2754609570,0.0570301261,0.0064814493,0.0009937768,0.0008785947,0.0008701028,0.0004327919
sub-015P,fpn,0.0224313157,0.0212482663,0.0017119658,0.0025167086,0.0187409980,0.2143996054,2.0819162650,2.4331376099,8.6412914227,26.5035731236,5.7401333762,9.2122702636,37.3333822487,12.0599241782,3.5765062606,6.8157346216,14.6699690893,4.7935284976,6.5115494357,3.0670506948,5.2985146485,4.6371427390,2.8579257731,7.8115836541,16.0638270484,9.7758578565,24.8141788857,13.9046606220,2.1836930044,2.1158909797,5.0740891982,7.5030980926,7.0224139013,6.9460647941,5.3529331905,4.5302774334,4.8498014352,3.6524190491,4.0075159210,3.9722167195,7.1828798778,6.3163064331,4.1588216077,5.0588858051,2.7757547756,2.1815636176,1.0146730826,4.3638877674,5.7431247825,3.5445425824,7.0281906303,2.7128318989,1.9467258886,1.4661291077,2.2455639162,3.8482283842,4.8692262711,4.0208655335,3.6620196254,4.2877975868,3.9333381587,2.6963648425,1.2125224671,2.8629535322,4.0070394754,2.6383186379,0.9492604519,2.7634292734,8.8749996852,2.5064152237,1.7997108194,3.0232409478,7.9217736745,6.2900184835,1.6986895752,1.5507535364,2.4380627210,1.7000343827,1.7049873277,2.1654324077,3.7527127774,4.2736349411,2.4187444498,0.4829161407,2.6843116163,2.3621644954,1.6711086780,1.2988374573,2.2436155813,6.2830095637,4.2042003419,0.4384464362,2.1002555693,7.5440374018,5.6616755259,3.0695457746,2.8980359097,1.8002687675,1.2021153721,2.2577943057,2.1683447349,1.2652205161,2.6218675469,4.4653414279,5.8046545276,7.2100068741,2.2582768419,3.7445975287,4.4420344252,2.6382556071,3.5870382770,5.8870105201,4.4955640291,3.0036823779,2.0939188422,3.4521078824,7.7106000422,1.4763509830,1.3332947802,5.2218857810,5.2134522319,5.9656522490,7.4233501020,2.5236994805,3.5873893315,5.3945994572,2.4030928318,3.0110539339,1.4315109643,1.6450741786,1.5689800054,2.0440677496,0.5646230291,1.6923750903,2.4405594206,4.8319049577,1.2087815643,1.8924946133,4.2340010936,7.2617142250,4.0423036668,2.7159045158,2.8596704574,2.0872206309,3.8711475677,2.1946753664,2.3814785146,4.1766994528,6.4526628741,3.7843871556,1.3072343711,0.1937679216,0.0026350920,0.0007821755,0.0005868404,0.0005846761,0.0002898573
sub-015P,limbic,0.0265779862,0.0236198238,0.0013146824,0.0016052895,0.0102540727,0.4235321178,1.6777292353,1.4540515177,4.8622832095,7.0436929467,6.7713147565,4.5600679728,5.7365348091,5.1154326827,4.6084781214,1.8640585452,2.1155032525,2.2516499992,4.6142048113,4.6724396255,5.5980106049,3.4925175953,1.9263451976,1.6028543435,1.2094229993,3.2856136955,3.6963754997,4.1023030785,5.4968460164,8.6771594680,5.9133106288,3.6777145877,4.4461193189,3.0454763507,7.9361040500,8.1136503989,2.8580158391,5.1217089650,5.0939027313,9.6027452568,7.7002187315,4.3603186991,6.7526600200,6.7653382019,4.9786690426,4.2543244826,6.1411297925,2.1914871139,6.6646938108,16.4482487624,9.8614069716,7.4503694031,11.2102070581,11.0520988888,5.2580806950,12.6321209965,7.3821635618,2.2117356712,3.4774346851,3.3620035545,4.0046950669,2.2190119659,9.9730796048,3.8303170095,2.3575985914,2.9759458981,1.2793564808,1.8145499981,4.0211274299,3.8109634457,1.5094373985,3.2362817311,6.9214488681,3.5675332681,3.5697615978,2.0807858493,2.9735439365,3.8306474707,2.6820626000,1.9483099782,1.8511919811,3.5358708080,6.0969194095,3.9375543498,3.7506444431,1.5829970037,1.6630949921,2.6981119797,4.4713904605,4.3914873878,6.1725592086,3.6597960747,5.5278968041,4.9505915705,2.9194880193,2.7976237734,3.8799646568,3.5471202969,2.0554915082,3.3211581432,1.6167703108,2.6621311476,6.1070059082,8.1516158779,4.5592131741,2.9401028600,4.5956710387,5.3348000557,5.0171068220,9.3644305577,5.9361865100,3.0945749829,6.8916642859,2.7599332979,3.6793932101,4.7624421622,3.6012262485,10.7854336660,3.2933515277,10.3689010657,11.1992068731,5.9372914342,9.3080950985,18.6367351828,6.1268471406,9.9655237813,8.6245478176,2.8173090755,2.1443155116,3.2829000787,4.0828802023,2.6883648568,1.7426162807,3.1612509873,5.5490583814,5.3331398694,7.3747889911,6.4865241753,1.8030458592,0.6362626481,0.9755367478,3.7423710168,5.9304574503,3.8275972794,6.5531592835,7.5798685345,7.5436731976,6.6910288133,2.5039761776,1.7952687265,1.1196904380,0.1497710392,0.0041212862,0.0014494632,0.0010567683,0.0010230195,0.0005059705
sub-015P,motor,0.0663752176,0.0603798019,0.0033592883,0.0072085452,0.0340684463,0.4402720874,2.2502445044,9.6771266648,13.2777850300,8.0717654360,5.7169970188,9.7870536566,38.9370399074,14.9005926757,2.0108183569,2.4177862783,7.8353172664,9.3346899121,8.6755422217,2.5012166612,1.0234985369,3.3540436904,4.8083975779,4.4269733821,7.4441535483,1.9980920959,9.8974347369,6.9449261824,2.7811773897,4.3322734778,8.1668936351,8.3507082519,7.0508337236,9.4987018409,8.1579570898,3.2552977778,4.1070764722,11.9641032131,8.8900643430,1.4793012955,3.5140449982,5.6820214426,4.5850842091,4.2964310325,7.0583860723,3.5460160122,2.4054052321,3.4508590007,5.9855895835,7.4403485090,3.4147356208,0.6480705016,2.0643858460,5.6092997685,4.5734744800,2.6694514325,3.7171853259,1.1500040499,1.4558893754,1.5954635476,4.2404104310,0.7502621375,2.4759138944,4.4792317309,3.1028164859,2.9318812312,2.7443220055,2.9083438699,5.7436257657,5.6409180310,8.5259032469,2.9290042385,5.0849150891,5.7670663868,8.3989214400,7.8545687642,6.9984775215,6.2685496553,2.4644117425,2.3306979155,2.2701899280,5.9140484017,4.6424825117,2.9160363671,6.9102299724,13.0005446496,3.0849775496,12.6987540279,12.7519706336,8.9382878781,6.0067943583,5.7490587361,11.5692439725,22.2462390353,16.1436816516,5.5365652654,7.7146427106,5.7182282740,2.1908154596,5.3478802964,2.4032388913,1.2864002535,2.8009231108,1.7613121710,7.1062853214,5.2197799222,2.2698423928,6.2859744226,4.9031904896,1.1039642700,0.3620007452,1.2522327780,2.1810259448,1.0746470636,2.7233913243,4.2756039871,4.0595813164,1.6071946748,0.9504462423,1.2837767523,4.0222408906,3.6495432712,5.3748661456,3.6187241874,2.0286749875,1.1328781922,3.4485109955,2.0389341612,0.9301791169,1.4309266910,1.0422922449,1.0236822840,1.7700113418,2.2266571128,2.4689180495,2.0014242589,2.1913606281,2.1376745347,1.2147060247,3.0475086695,6.1224849104,3.8075520550,1.8133287091,1.0277726421,1.4000460939,2.8735501218,8.0249288343,6.7419304045,2.4319394039,1.9610051554,1.2613584313,0.2777145358,0.0046207150,0.0008276108,0.0007540228,0.0007646154,0.0003802074
sub-015P,salience,0.0266044807,0.0234083786,0.0018315870,0.0024598063,0.0269396234,0.1771747245,1.3181057634,2.7391768099,7.4480326396,12.7840798315,1.7604601619,7.0906823508,18.6722863718,2.2204434281,4.1570956351,6.5369988903,7.1494179890,6.3152707492,5.5927503096,2.7261441509,2.6799763835,8.1258079294,5.6497197069,2.2878364620,10.1583345627,6.1356166058,3.2850020089,3.0787352930,2.9227500326,4.2962052110,7.3008582844,13.2327105641,7.8646995356,13.1491571928,7.4117531501,3.3531191675,3.7882333673,2.0593714582,2.4101460477,9.5390263342,10.7356439561,2.8128186116,4.7987604867,4.3435268905,4.3979239564,1.6503230944,7.2628174154,24.7544075195,14.1712694352,3.8803002211,8.9413289869,11.4031320865,8.0986462682,3.8830635891,1.6091846692,4.8414588677,5.6447652062,2.1128283331,3.5154738456,6.0097999192,7.3293056015,3.5479581035,5.0513610736,5.1539452372,0.6276987009,1.4438804802,1.7229542525,1.0002151683,1.7348964572,3.4299696778,6.2292566240,6.2101705635,6.1422074536,1.8949250093,4.7559232216,4.9464432600,5.1228179472,7.7228561595,3.8625124739,2.3065651314,4.3398170039,3.6320775339,0.7454085926,1.7239011202,5.2448439923,3.1327338391,2.5933110258,4.9925839556,3.5449935039,5.3225592289,2.1014091322,3.1054542731,3.9902673056,5.1600951614,4.2722866607,1.5344340647,3.5399296713,3.4475345893,1.6718716141,2.6824721578,4.2119050555,7.8906208941,3.2724356685,3.4134269991,4.2733477100,2.3625036631,4.5891107145,3.0055075438,1.2307473669,1.8605427093,2.8075231452,3.4561038799,5.9702914233,2.9085107675,2.4912132317,6.6968420621,2.8031700182,3.4473714713,3.6795235570,5.4925489979,6.5145051936,4.8179017388,4.8384921808,7.3934403470,2.7123131776,2.8327033906,6.8772318974,2.0086318003,1.4249570123,4.2105455199,5.0068976538,5.4750090262,3.9847785558,2.2079709157,5.1581696788,10.0340645734,9.4958750257,10.6134597048,7.3306239312,5.8583145181,4.9614036488,2.5309458514,4.8818535280,5.2576977366,3.4733120373,5.9938381562,9.3420595236,6.9188171401,7.2188560006,5.9126768015,3.5489837634,0.5127327565,0.0096990585,0.0007631372,0.0006604414,0.0006466969,0.0003204041
sub-015P,visual,0.0420653951,0.0355762476,0.0022931863,0.0044359814,0.0394394654,0.2108608953,2.6175645523,8.5723442084,9.5170112661,7.0965977879,3.2115060339,5.4775903663,40.8734209534,6.4932245930,6.3775993759,3.8677521239,5.0767412437,7.0463026226,4.6453825341,1.8562047887,8.6486946716,19.7192843599,4.5910832383,6.1540484886,6.4115460260,5.4707188990,5.7881654275,9.4758876771,9.5313810959,2.8122849908,3.7019379403,3.6264865168,4.3608340231,5.3905544754,4.1175812405,4.0364377307,7.0349925111,3.5786450516,6.4499296904,7.7332417621,6.4075039422,6.4440596605,4.7745649258,1.0137540993,3.1863003598,3.7799057575,4.0301200017,11.1388104583,12.2127184046,1.5284246212,4.7304088375,3.5697295951,4.1357442236,2.8267931161,1.6535867680,2.6050706299,1.4354998868,4.6834161151,1.4261838287,2.5081285820,6.7302789587,8.9421261885,2.7687031515,5.4306965489,8.6631133365,2.9962972808,3.6723448327,2.7574767663,5.6648330967,4.6083504109,3.2890192423,8.9577447116,15.0556356080,4.9633673976,1.4926424843,1.6833115084,1.5659242145,4.1276852196,4.1224748505,0.7192951086,1.8130659139,1.3393438886,1.8127795253,4.2750070414,5.5303126380,1.9966940533,3.0106267162,2.0633254340,2.9819259406,3.0404338791,3.2887550219,2.2533771073,1.2365405338,4.3030395804,2.8467360420,2.1294837331,2.5118922284,1.3425050852,2.1727023357,4.2157901464,3.2707285862,1.7243120291,0.5032029725,1.6622827371,9.0830985232,4.6832301631,1.9716952146,2.5570372387,4.7930457092,3.1878675983,3.6274784348,1.8227529205,4.9958477123,7.6864825673,4.4193030491,5.3670562853,3.4252482329,0.8900676265,1.5944236827,0.9112892769,2.6601237877,2.2052500233,1.6859806985,4.8593337738,2.3505417188,2.4492947404,8.6239153211,4.0818981624,3.4890409466,2.4294283020,0.9294303936,1.0667379636,1.2825663455,2.3278077728,4.3783459501,2.6615148573,2.3561784864,3.1433952592,1.4009047611,0.6688899729,0.8817693975,3.1495169176,9.8989471168,8.2464792082,5.1284821401,4.9411830630,9.4307266665,10.3010574515,6.0199396665,4.3619057322,1.7411795665,0.1976622858,0.0030707608,0.0001282253,0.0001651915,0.0001705850,0.0000853407
sub-016P,auditory,0.0158459422,0.0143316812,0.0012107280,0.0019427140,0.0331316409,0.1392618574,1.2029819777,3.4413999641,5.4425737952,3.8261226558,8.2530998972,11.5222658594,30.2368592292,27.9972205909,7.8329480901,3.1871739639,3.8297605926,2.2348698887,3.0572087995,2.7331136673,2.7616393892,3.3626608186,3.1858951810,3.7424134098,7.0137701834,7.1452325524,4.9230287172,2.8421322638,6.1724603617,4.9578509825,2.0988791352,6.5921806322,2.1825142053,2.5248778496,3.0245631105,3.9635734100,6.7511086511,1.0699143972,3.5237744002,6.2427551269,4.9141807295,3.9082110405,2.9056636904,0.8523307234,2.5478989985,3.1262688743,5.1193547633,2.2765564506,0.6221036834,2.7808602314,3.0134809200,3.0447274803,3.2454594757,4.2624455147,5.1145607813,3.8181789552,4.1110480084,6.1432503457,4.3251336572,3.5380275736,1.2301784507,3.7675697359,5.4195908571,2.9711930879,1.8834201471,2.5648080198,1.9861213407,3.0573843322,1.8483355121,4.9222007695,3.9746891159,4.9730744741,2.5833279382,1.7029210387,3.5683337012,0.3088345521,1.5433327994,4.0894239249,1.6948934236,4.7821830244,3.3566310980,1.6461365852,2.2308896290,2.3645365289,6.5468814069,4.8280646818,4.3715541473,5.9266527826,3.4059037242,4.1930920108,1.2462556120,1.1432113790,2.8268110234,1.2536315086,1.9719235049,1.9853330118,5.0214193724,3.0812236720,3.9171162662,4.0886737460,3.7761497612,2.4893187185,2.0731953616,0.6847188530,1.1990613822,2.3054740577,5.3560687705,3.4865768227,3.2076003803,1.4686599514,3.2645387286,7.4965303616,4.0618545730,3.3103336836,1.2489725889,2.1672582427,1.9700111839,4.7166162074,3.3129966750,1.2496563158,4.0657101343,2.8801053333,1.2668729117,3.1004089092,3.9584493461,2.2762180701,1.9287549948,2.2330043040,3.1055634803,3.8636535365,4.3446969807,5.2273083020,2.4011336509,1.9626694914,0.5932625700,1.0413522705,1.0467953111,0.9670448894,2.8970668888,2.1378109940,5.5942446493,4.8537158954,4.6536855680,3.1870264537,1.5641236318,2.4794551922,1.6990903086,3.1624199522,1.7813345864,0.8779530755,0.4297750814,0.0448588300,0.0119637461,0.0013492930,0.0017478859,0.0016884239,0.0008356325
sub-016P,dmn,0.0100239355,0.0086989269,0.0006484243,0.0020370137,0.0089149779,0.8927484413,1.7352316080,1.0472570555,3.9671708288,6.8065002193,4.5919056247,14.1733001465,37.2758382622,24.1341451119,4.2438503964,7.1198440038,2.2416858605,9.7084783231,10.3628606983,4.8888151972,3.7634783513,5.2698550983,5.5542367814,4.4706724150,5.3034807659,6.4954299069,4.9054133047,2.7522528283,2.9662121859,1.5890523507,3.9193354498,3.4308681181,5.4369414367,4.9988719143,4.7217535302,3.4698107519,0.6792145218,2.4876233975,2.6395491523,2.7420488767,1.1118045374,4.4220567786,4.0738783766,5.0055408782,5.6385722823,4.1117277030,6.2838409573,6.7612349453,3.6562745321,3.1119282330,1.9677321598,2.7007907292,2.8054192470,1.7396707779,0.9358270122,1.4146411681,1.4074466659,2.8627267841,4.1508233251,3.1697000727,4.5494686313,4.8023211077,3.1314162109,0.8335649913,1.5643326202,2.4490198789,6.2754188266,4.4839258392,2.5144680593,0.9898557621,4.7300460236,4.4190834443,3.7210054429,3.5922370714,3.4895271865,3.1699006093,0.7954350702,1.5546792202,2.7777405667,6.5445478188,4.4919138718,4.9549775335,1.5112587274,3.0299002245,4.4169988678,3.6569212690,1.5755130782,3.3071889874,4.8441800160,2.2288561348,3.0312307049,2.2403976201,1.9785094659,2.8045064480,3.7959967658,1.7316509020,0.8456418757,1.1131976858,1.3725570598,4.5651586396,5.3596892294,2.0705001450,2.0931213970,4.2713796857,2.8295496959,2.7308990636,5.1227227619,1.4981043921,3.5415058108,2.9774475957,2.5065458156,1.2698231990,1.0441666125,1.5963883171,1.7019610577,1.3022068290,1.6676958724,3.6542174489,1.8841069474,1.5472311143,5.0752554184,1.8342886027,0.8415043533,2.3203017331,3.6942139486,3.3837810095,3.4747487837,2.9683816418,4.7598545024,3.9562421534,5.7068719419,6.0324576086,2.6496386271,2.0647175104,2.6663048886,2.9219893442,0.9053727807,1.5937110950,1.0833917982,1.9270647035,3.6103522101,5.7619304625,4.0626016906,5.5048551855,5.3456488177,4.9413503528,2.0899989522,2.0493082985,0.9936244466,2.2222070367,1.0260577062,0.0747691562,0.0091093818,0.0052599340,0.0044884494,0.0043691743,0.0021659774
sub-016P,fpn,0.0228995774,0.0201341061,0.0015310659,0.0028790012,0.0048386037,0.1261907661,0.6581934277,2.2387504069,5.8369119982,1.8369345021,1.6063536512,3.8247146997,15.0153298999,9.9124998521,1.1865250882,2.6421666819,4.0355142748,12.1596051911,9.8150972355,4.7078130054,2.0479100275,1.0025058876,1.5027083498,3.6099087640,2.0735153435,2.5705373324,5.7188070851,3.9432141229,7.2210585700,5.2558855939,2.9406968970,0.9229424503,3.2385917975,2.5965243489,0.6802150229,0.8148796115,1.3463254504,6.1434639922,9.3349694106,5.3901825261,2.3289543136,3.9645658990,5.8935891980,5.8999120245,5.2354630145,7.2611184665,12.8740046236,8.7891100970,2.9817699992,2.6959555485,2.6483873174,1.0334667816,0.5408410215,1.1330043262,0.5334035239,2.6839710986,4.2519822805,4.1140123607,5.0412821399,3.5805267484,3.5659909108,2.3663487533,3.5916596273,3.6669962331,0.7892866194,2.6389362577,6.3122227334,4.8334231727,3.1110290057,2.2655731237,4.9790598990,7.1166958712,10.4053761691,6.9108980975,2.8409363671,1.6663691341,2.5485977178,7.2518737336,3.2127702145,1.9415532647,4.7166043141,4.5454601834,1.4252023881,4.6547205466,3.2815373917,3.6363986385,2.0426128150,5.3079943034,4.2269125681,3.1608523093,2.6886611958,2.3831191736,1.6852051331,1.4779226858,2.7158869464,1.3615030584,1.5617893242,0.7776632131,1.9156776460,7.6690580623,8.9772790326,3.5440274675,2.4610680478,5.5141422644,3.0186522283,2.3393564110,7.7208474274,2.0537045801,1.8324794105,1.3812960891,1.2557800100,0.6706597451,1.1556064314,1.5542716873,5.4539445415,3.4119983846,0.8516435146,3.3439270016,2.2228904022,0.2807533536,1.2351997166,0.6558988356,0.6025471852,3.1304145248,6.2923680675,6.8912902688,4.3139404795,6.0935418018,8.5339518824,5.6071781047,9.3491537997,7.7652213760,1.8613734598,2.4342901248,2.8966881502,3.5102128289,0.3561847128,1.8253498918,2.1066946377,1.2945749431,4.0325337144,9.2141791732,2.8697497416,5.1084557175,3.2073904561,3.7700637730,2.3405861570,2.4524724546,2.2898033986,1.2767692803,1.0754705626,0.1309315717,0.0099236759,0.0004199251,0.0001391056,0.0001388610,0.0000686593
