subject,roi,mean,std,median,min,max,skew,kurtosis
sub-006C,auditory,4.3887119313732486,3.5205532168596636,3.2624299542,0.0007460824,20.5483245253,1.4429101270923095,2.9400821364450573
sub-006C,dmn,4.15382567191656,3.1439657275639017,3.3459512929,0.0007499713,14.2523955168,1.0775107901137768,0.6329379169860276
sub-006C,fpn,4.099207557061784,3.710693424366056,2.948756512,0.0008269711,21.2342380096,1.735929768215319,3.7677675257769536
sub-006C,limbic,4.269331072510191,2.522474704595512,3.9123436016,0.000254642,12.4922929844,0.49178079769647065,0.07138894047754984
sub-006C,motor,4.109916688122293,3.9984742046379487,3.1626307697,0.0003004337,27.8840328908,2.600306594836309,9.416544169673054
sub-006C,salience,4.210470192729937,3.5766063342576606,3.2213534999,0.0010927313,22.7701524238,1.963374768838384,5.403619768104848
sub-006C,visual,4.031108263501911,5.689213588023958,2.5174968791,0.0002428626,51.936929837,5.244517147013597,35.73258958257396
sub-007C,auditory,4.206445063371338,5.079736087659343,2.6934885306,0.0013537212,37.4175649156,3.405819348345217,15.899034209885183
sub-007C,dmn,3.7870021778235676,4.457370780556228,2.2891434611,8.83641e-05,30.5658445948,2.7060944705053207,9.96022842684767
sub-007C,fpn,4.061236980724204,4.978757990620861,2.2450267334,0.0003255375,30.426822066,2.367340484292347,6.525134059598944
sub-007C,limbic,3.859204460416561,3.174849425699848,3.2026543935,0.00045532,20.8442244805,2.2730817166387176,8.782034332345084
sub-007C,motor,3.6447429653515924,4.082535282103579,2.3492869241,0.0001773445,24.6992862897,2.5152598067187175,7.707552473820707
sub-007C,salience,3.8968895409299362,3.490672744328799,3.1198718981,0.0003658214,21.0808299838,2.021197113953729,5.454666889324459
sub-007C,visual,3.664006631826751,6.176974761471048,2.4668272042,0.0002692016,65.7576924402,7.2262180653328185,65.0842162390356
sub-009C,auditory,3.9865494148191085,3.2432260341596058,3.0939867715,0.000134772,16.0217734216,1.3342658773006857,1.7697108323463162
sub-009C,dmn,3.863504385880891,4.4992441903445215,2.4630917999,0.0001579174,34.3625614551,3.4360366396282673,16.439938457460737
sub-009C,fpn,4.209875033969427,4.980201561921904,2.6733266426,2.47597e-05,42.1799364683,3.643971909259304,20.84469998288485
sub-009C,limbic,4.120413870373885,2.8754168903051207,3.6828685704,0.0002921309,17.6521652235,1.2810229566622018,3.0944537983287965
sub-009C,motor,4.057525986540127,5.011639406974856,2.7921696256,0.0001647998,49.018964161,5.18072356878069,40.22634830935286
sub-009C,salience,3.7949433175439493,2.995078453679991,3.0087318484,0.0008226776,15.5724303215,1.3497974271225812,1.9746085485775309
sub-009C,visual,3.7449213850324847,4.651634068672769,2.5800393652,8.57934e-05,37.727680102,4.128432536645129,22.39547680891448
sub-013C,auditory,3.5958892060878984,3.6131548400381277,2.483118726,0.0002066159,26.0195572348,2.8050530341736746,11.494149867901141
sub-013C,dmn,3.7314585213993627,4.922258142454696,1.9945963594,8.14914e-05,41.9014846272,3.9984287480314182,23.418156286547095
sub-013C,fpn,3.1580391755305732,2.983061715959542,2.1485473737,0.0005014017,17.8118480227,1.7552660477759685,3.8258609907860537
sub-013C,limbic,4.382783004276432,3.420384362028622,3.591323403,0.000119491,21.6430407846,1.7365150116001455,4.7748042406742925
sub-013C,motor,3.5556980397847133,3.6494809660182517,2.620832178,0.0011106853,22.8154507737,2.6273695955616323,8.979138235413032
sub-013C,salience,3.0330359038681527,1.9860771422075554,2.7934433793,0.0001163775,10.637391023,0.8816423048243615,1.2154235256146935
sub-013C,visual,3.8128676648095547,10.116520219359026,1.5197943603,6.49373e-05,114.3014771572,8.811586329600555,89.351800751134
sub-014C,auditory,4.133129293967516,2.929781807647781,3.7050517418,0.0008222892,23.1629318713,2.2692802954162183,10.679602327297356
sub-014C,dmn,4.500770921876433,5.070411926170551,3.022741857,0.0003141048,33.078240951,2.901601157847779,10.159177395719077
sub-014C,fpn,4.37800686239363,4.309289278646077,3.170124973,0.0004227917,33.8233145294,3.2616541095405656,16.05150418417894
sub-014C,limbic,4.5853306158324845,3.3041026655927928,3.8186553125,0.0001058443,18.1424667621,1.361027144272259,2.7039392313454798
sub-014C,motor,4.117496045731847,7.59829689439909,2.5547281911,6.09897e-05,84.5255886816,7.904093819491791,77.73170497131552
sub-014C,salience,4.450274088374523,3.24376074840259,3.8640637789,0.0002803236,20.8697077682,1.5485046870982935,4.018427696944188
sub-014C,visual,4.395214645240127,7.026079363420271,2.4328510903,5.43184e-05,70.0868739162,5.966302957399114,48.10328698138788
sub-015C,auditory,3.5343901759687895,2.5802500134182877,2.8863387595,0.0004574486,16.1423914237,1.467453424874368,3.9339169643300593
sub-015C,dmn,3.79832102323949,3.607724656288733,2.5276807945,0.0002684948,18.776383846,1.7727630288282012,3.7493380787186643
sub-015C,fpn,4.225404870067515,5.496220083730629,2.1776048348,0.0002127067,32.073716885,2.4803096811398926,6.719131619469225
sub-015C,limbic,3.7728682913955414,2.819241728091361,3.0826632016,0.000128916,13.2507350635,1.1338596445318285,1.1779239034256
sub-015C,motor,3.7795541812942672,5.017049945251709,2.2381059133,0.0001299292,36.2011529788,3.2103614549140804,13.38432182832975
sub-015C,salience,4.066779149425478,3.6330460600639123,3.1285926252,3.80186e-05,27.3906560942,2.538573385434893,10.703723514457531
sub-015C,visual,3.940155384203185,6.063247649562234,2.206051312,9.63001e-05,54.4891354106,4.900120022436231,32.16411214321053
sub-016C,auditory,4.736904723217197,3.958542459482309,3.9129833139,8.9828e-05,21.4151714388,1.673893713835253,3.5550954686816247
sub-016C,dmn,3.876979266934395,4.166504952284605,2.7710962212,0.0007441357,23.4818198048,2.5261742879639923,6.916903725094469
sub-016C,fpn,4.435993800657325,4.852537825020549,2.9144455035,0.0003795422,30.8437438798,2.695018415273973,9.357203645674252
sub-016C,limbic,4.782339309039491,3.5422423789673996,4.149454813,0.0005259923,17.9092526143,0.9887889708651773,0.8223071103746147
sub-016C,motor,4.398015350415286,4.640905622278498,2.6856790067,6.8313e-05,27.1445941384,2.3710759573556333,6.711054326209885
