subject,roi,mean,std,median,min,max,skew,kurtosis
sub-003P,auditory,4.2169718865503185,3.521291519434149,3.3447362961,0.0010391931,18.6877720156,1.4908371743484694,2.472061011763902
sub-003P,dmn,3.94326695316242,4.719991792717879,1.8855260345,0.0012158313,28.7182070055,2.4105172745429373,7.553796473778766
sub-003P,fpn,3.953039360857962,4.495096049092689,2.3736490515,0.0002699328,26.6483635291,2.2302082664011733,5.956181011343357
sub-003P,limbic,4.14260610193758,3.7640713981554956,3.0320624046,0.000114719,21.2406404187,1.8711843544702202,4.4063357824211415
sub-003P,motor,4.110665813485351,6.048523100201908,2.1688779972,0.0004513128,51.9405314945,4.389093628660537,26.71365228031572
sub-003P,salience,3.457765951912102,2.5208482409626365,2.9624418307,0.0011668396,12.144906968,1.1042608922669304,1.4435698248590532
sub-003P,visual,4.4047340251140135,6.800703824967609,1.7955227418,0.0007431793,56.5999599683,4.298359764930555,25.385810503464555
sub-005P,auditory,3.987882797089172,3.386418570563615,2.9979668188,0.0007201567,17.1278744311,1.563023628272325,2.4825611897160353
sub-005P,dmn,3.9113125473184707,3.2841811213254712,3.0985193084,0.0007711029,22.6478824051,2.2219788098165445,7.763820177409997
sub-005P,fpn,3.9614358530235667,3.037947236629044,3.2469017362,0.000425249,15.8497585796,1.294584664236055,1.817429529359882
sub-005P,limbic,3.8910789821872616,2.791405144721028,3.3551083556,0.0009105587,13.9184333631,1.1275992599244296,1.3189615510974875
sub-005P,motor,4.094958088205096,4.426166593872147,2.3745552235,0.0008681178,26.008882459,2.2491162371515316,6.00553558465543
sub-005P,salience,4.18366887805414,3.2151321611649406,3.4368438776,0.0006651863,14.9816022307,1.0821733870071983,0.8398466263776885
sub-005P,visual,3.8169185814216555,4.908483852035867,2.5553091227,0.0004435372,41.0062725575,4.659759970380654,27.6518849270418
sub-007P,auditory,3.794460511448407,3.5163996527414905,2.8556830456,0.0004835952,28.9326655342,3.1448569672770836,16.598100573405308
sub-007P,dmn,4.54394835927898,5.691128210280598,3.1014814223,0.0004193163,44.7890467682,4.068561402988896,20.665376237340315
sub-007P,fpn,4.685466286029299,4.377191361607536,3.1920954992,0.0002886316,23.6201977557,1.6796469660212892,2.8373326077466796
sub-007P,limbic,3.887187036698089,2.711256065832109,3.5801130197,8.97739e-05,15.2337039406,1.1847326900571349,2.503803106328432
sub-007P,motor,4.244141960554777,3.987206100438619,3.4144178962,0.0008399855,34.8709829933,3.736136046124398,23.01208749374592
sub-007P,salience,4.113784669307006,3.4955804477448122,3.1918956841,0.0005235073,25.2027202422,2.4017821226604616,9.268443828695544
sub-007P,visual,3.998973521447134,10.343162637126385,2.0361137342,0.0001119058,100.9058354574,7.551392521247537,61.59915750021254
sub-008P,auditory,3.42869920346242,2.619570366064675,3.0080577706,0.0006356615,14.0846265247,1.6017882071402416,3.6587076794926903
sub-008P,dmn,3.80192994407898,2.565688397016498,3.1967536806,0.0004348109,13.2656503132,1.0878379601136623,1.5301285546675727
sub-008P,fpn,3.8148624001331215,2.8573794028958677,3.3426446836,0.0005911283,16.8415609899,1.4146064281758333,3.344356375689019
sub-008P,limbic,3.9021358754464965,3.0198171054076077,3.1985122883,0.0007208788,21.8470902943,2.011771559142381,7.806155420721391
sub-008P,motor,3.5161194745528666,3.2982208129810617,2.6096412706,0.0005730497,21.8124853258,2.462607755504543,8.632696695841727
sub-008P,salience,4.124669855607643,3.664226725439853,3.2664062426,0.000166645,21.3222767549,1.7729984291510683,4.055620964084132
sub-008P,visual,4.135348774975159,3.63338481449684,3.054703446,0.0002109541,21.6515059484,1.8670163549140053,4.6380905613995775
sub-010P,auditory,4.102387280154777,2.697169335694253,3.6399496716,0.0009343209,13.0217272295,0.9036774676841881,0.8788316672989929
sub-010P,dmn,4.115356183065605,6.033664010969214,2.2825949034,0.0002654662,48.7881172529,4.572329008984825,27.606149859650582
sub-010P,fpn,4.311352353548408,5.413150396972964,2.3453088972,7.77629e-05,35.4155490195,2.776149339031293,9.52965914598978
sub-010P,limbic,3.9969578785254773,2.5619758864335034,3.6162408923,0.0002453498,16.7652621842,1.1312414487381992,3.10332965786501
sub-010P,motor,4.320153902705095,5.611706715162473,2.1829336138,8.27596e-05,43.6173637695,3.5103651444888366,17.42715405649419
sub-010P,salience,3.952079464466879,3.174369631265791,3.3113506542,0.0003142089,23.9730815214,2.520399168065249,10.970749712542776
sub-010P,visual,4.0841128739293,7.368093537441852,1.8025764775,6.63198e-05,68.1885396432,5.421346356982344,38.39798049029661
sub-014P,auditory,4.132289870746496,3.4049796703821573,3.4770498191,0.0011222879,25.315400643,2.8267030693159745,13.424361948605114
sub-014P,dmn,4.546242645973885,2.7942979432637856,4.0476633725,0.0004128553,13.8026376764,0.7401733878989805,0.5429280655540278
sub-014P,fpn,4.832058915761784,4.06888998719573,4.0911252381,8.15674e-05,20.3458881099,1.4397628531763662,2.0421770267072326
sub-014P,limbic,3.578674790081528,3.8339123430536675,2.7746076835,0.0002207111,32.2258032679,3.8329233579476694,21.72902632760495
sub-014P,motor,4.268185908945224,4.2903126125451365,2.7423556645,0.0009263708,26.7473543464,2.023770903667793,5.2058588686632845
sub-014P,salience,4.642904871632484,4.097673588821802,3.8241593272,0.0001987175,33.4220219124,3.052605028558689,15.89007373906922
sub-014P,visual,4.019282902812739,5.154748120363555,2.8578096347,0.0003477585,51.0782657475,5.440516150369394,43.11987436303823
sub-020P,auditory,4.208843650088535,3.8184939674409843,3.1091704761,9.52153e-05,26.9328572204,2.548546316323119,10.21144365450429
sub-020P,dmn,4.097805463028026,4.694187920541737,3.0312395538,0.0003207741,44.0101394433,4.76663637341223,33.52313937458406
sub-020P,fpn,4.424647717416561,4.134370468637664,3.4001089326,9.3331e-06,27.5082049969,2.4506904231222193,8.458694036420152
sub-020P,limbic,4.135018950831211,3.794610125384539,3.3565089427,0.0011398258,26.7731265589,2.849243817520885,11.494623472463093
sub-020P,motor,4.374318753310191,5.424697227981103,2.8036551488,6.80696e-05,50.3896637572,4.692026587642011,32.742852030686805
