subject,roi,mean,std,median,min,max,skew,kurtosis
sub-003P,auditory,3.6485038123941176,2.5920009591949698,3.0109669407,0.8754708533,11.903366104,1.8891660911526034,3.516291100215417
sub-003P,dmn,3.760767817435294,1.6829577442830324,4.168090592,0.3024051518,8.1367035653,0.32830354897699243,1.0599721642807358
sub-003P,fpn,3.0319151638647064,2.1245726762397728,2.109805246,0.3951515469,8.1998205362,1.1615898954506216,0.355355966101643
sub-003P,limbic,4.453578537570588,3.324192416706817,3.1740760745,0.6116323552,10.5368707757,0.7139019792374646,-0.9862702114022768
sub-003P,motor,3.4683000297588236,3.299525914979934,2.1758674997,0.7236415405,11.5926422651,1.3845396547457671,0.5819373891675035
sub-003P,salience,3.675675048635294,2.294891518459826,3.2030211315,0.5453729951,11.4008358223,2.045496507700858,4.851060798493049
sub-003P,visual,5.969927930411765,5.397473286478883,4.9819561365,1.6787234029,20.29185822,1.5632756654034434,1.1152981931782264
sub-005P,auditory,3.5779224794764706,1.9956971482699568,2.9346476985,0.7976469132,7.2511348816,0.6401191236750982,-1.035210901495193
sub-005P,dmn,3.1182738956529414,1.3866106086868988,2.6941250053,0.6109167861,6.3926959118,0.5583673547130866,-0.01771520942852689
sub-005P,fpn,5.2602256566882355,3.6067380555596436,4.3082575976,1.6619658439,15.8497585796,1.5266734476984207,1.8722683378563483
sub-005P,limbic,3.8489255167176473,2.0235988535889624,3.7863543957,0.7996674055,8.2346184782,0.6225855612978534,0.03130511597651786
sub-005P,motor,5.258167107158823,4.738439984192014,4.0907381667,0.6858750462,18.6705289284,1.4453313864311637,1.4529152031087769
sub-005P,salience,3.655992822982353,2.0395507958891783,3.4402153593,1.2624627681,7.4828372549,0.34964843663633133,-1.2498690483737642
sub-005P,visual,3.495076689217647,2.034808037762059,2.7381642978,1.2585631892,7.4010510758,0.7525168657738854,-0.9160108934037758
sub-007P,auditory,3.3736475566000004,2.091169871240146,2.869287151,0.8586722033,8.6118744016,0.8129028039101913,-0.006616460218866749
sub-007P,dmn,3.216051011288235,2.2342914727107073,2.6317613792,1.1092128179,10.2209148832,1.779164339768735,3.014347844171306
sub-007P,fpn,4.297576312241177,4.064808797891943,2.6273191813,0.5621164483,14.9321671028,1.4894773688350895,1.0000418638171942
sub-007P,limbic,3.1875571476235294,1.973457325479855,2.1430870119,1.1952331596,7.0958539196,0.6477334071579833,-1.148123874799771
sub-007P,motor,3.2115853984,1.3559459008194392,2.8168508645,1.2238361836,6.5658714374,1.003136457226048,0.48131488804555467
sub-007P,salience,3.129711729858823,1.2099373921749341,3.0299979544,1.2412813373,5.9876873528,0.48116738253758096,-0.16899887641192635
sub-007P,visual,2.019041160358823,1.0083882189448317,1.9046440976,0.6182551287,4.0855919989,0.6229847719952254,-0.5047398604383058
sub-008P,auditory,5.036965234617647,3.514248526570902,4.5700460386,0.9255448322,14.0846265247,0.9972837280071335,0.35578069480579444
sub-008P,dmn,5.569880590341177,3.3825531539452336,4.2702638583,1.0312239264,13.2656503132,0.9616782820062534,-0.03178588007138572
sub-008P,fpn,5.020689058394118,3.7760838174787867,4.3393727332,1.0141116439,16.8415609899,1.6169259104105422,2.93527361232805
sub-008P,limbic,5.1647924617,3.3640978052220945,4.5004311465,0.4962691441,13.3695844451,0.8139123290175599,-0.08223166779031477
sub-008P,motor,2.6645489254941177,1.3629448369985453,2.4380800831,0.3911185332,5.0758076986,0.018400106784140658,-1.190359897966467
sub-008P,salience,4.362523888352942,3.8365176576498037,2.9462098728,0.5363123849,15.233574044,1.3576169681652106,1.3088790534826122
sub-008P,visual,6.794181212129412,6.108277180087312,3.7111322077,0.8380532531,21.6515059484,1.2923216166115306,0.31026113010804934
sub-010P,auditory,6.565767443982353,3.2997327617601413,6.8790977598,2.0912682156,13.0217272295,0.3731459333966841,-0.9621089066803159
sub-010P,dmn,3.619762294288235,2.4902547446574945,2.8444503575,1.0374302477,11.0077767022,1.592819417341483,2.0540238459557436
sub-010P,fpn,8.819717587376472,8.48220441600413,6.4563816388,1.3282846547,35.4155490195,1.9112713516279836,3.163217744818124
sub-010P,limbic,3.7063206868705882,1.6097822399187027,3.8543541193,0.5271522578,7.4139976238,0.3378022429821065,0.1423817346973335
sub-010P,motor,9.952160098682354,10.966555639696892,5.6721576992,0.6400696944,43.6173637695,1.9364699760798887,2.952750348701917
sub-010P,salience,5.5414404011352945,2.7194719091626602,4.7267301096,1.3969735537,11.5197079387,0.6265140315405068,-0.5124728312622153
sub-010P,visual,3.173160993464706,2.9681517179822157,1.7826773948,0.7618669306,13.2623935464,2.201655787125207,5.007542930166311
sub-014P,auditory,3.6006019366,1.5180030023465112,3.3082364778,1.5815584451,7.1919427169,0.7101866682360168,-0.2897119136767712
sub-014P,dmn,4.753724641911765,2.2953131420403112,3.9929805244,1.8192431936,10.0254459636,1.0975368096681692,0.37977668869351433
sub-014P,fpn,8.272950834911764,5.292958203386572,7.4126766443,0.5617123196,20.3458881099,0.6441008088110747,-0.4737597462934606
sub-014P,limbic,3.390583881323529,2.1819983097631512,3.1779221143,1.0017720145,10.3312087465,1.7292724930603045,3.35257035727909
sub-014P,motor,6.887994797817647,5.6320088084375985,3.4400097827,1.2546487777,18.5035197446,0.8777702136490404,-0.7110392977781932
sub-014P,salience,4.343461506194117,2.7761289070807686,3.8979046973,0.3784831417,11.3315029395,1.22162870018433,1.043119291970707
sub-014P,visual,5.005084246382353,3.65350431277306,3.4881112876,1.8616873365,15.1444375713,1.634152286615944,1.5487222815491313
sub-020P,auditory,4.478883393099999,2.5101266918907883,3.555922544,1.571544674,10.4045496872,0.9745778198987258,-0.12087733194184214
sub-020P,dmn,3.295200189323529,1.8179255461854809,2.5827307061,1.3682393875,9.6826059354,2.412268714329597,6.111906975591429
sub-020P,fpn,4.293004851929412,2.379343299125665,3.8397093593,1.9676643752,12.4095945489,2.1853916865655316,5.1654912167765445
sub-020P,limbic,3.7673012648411763,1.5391658901431577,3.8578303313,0.8016192552,5.9197116735,-0.49764790132683034,-0.9590534300230327
sub-020P,motor,6.067578211800001,6.177759987528068,3.5560208124,0.151980948,26.178198393,2.002255536048732,3.849316860080476
sub-020P,salience,5.395293552117647,2.5135450972373268,5.3678810598,2.1406757598,12.0496585151,0.938272292842655,0.5848051011555633
sub-020P,visual,3.6090237279823527,2.397555883264321,2.9134412455,1.1615606143,10.9794927788,1.6940536531163581,2.729753402006687
sub-031P,auditory,3.1590192933352945,1.7568362426667086,2.681864357,0.4608260468,6.7062764478,0.5154490331926114,-0.6203628982644691
sub-031P,dmn,4.317323303258824,2.4801652814229502,3.9860276139,1.5963195146,10.4643380067,0.9118414949796991,-0.002536982970598789
sub-031P,fpn,3.2861949875411764,4.184721019637663,2.1726645647,0.2789568536,18.3562742841,2.7352996328093733,7.027259081823685
sub-031P,limbic,4.4453122511235295,2.1431842846811584,3.6399024189,1.7092273785,8.3083940705,0.5150891353894475,-0.9862258872049887
sub-031P,motor,4.105114911905882,1.5934955122762813,3.6570529521,1.2410105857,6.781151304,0.22381723915531163,-0.9717787726093117
