subject,roi,mean,std,median,min,max,skew,kurtosis
sub-015P,auditory,4.597270129320382,4.1295548731388365,3.7037600671,0.0001485633,33.9127961563,3.0609359886364658,15.953390172453304
sub-015P,dmn,3.945311091040764,3.211073371861567,3.1807943888,0.0004327919,19.3032947435,1.6311700134416456,3.5343570940182483
sub-015P,fpn,4.224193490375159,4.554989777567798,3.0232409478,0.0002898573,37.3333822487,4.0077298209987715,21.885973641420513
sub-015P,limbic,4.491375015633121,3.1059843860704768,3.8303170095,0.0005059705,18.6367351828,1.2936736546970151,2.925725795559628
sub-015P,motor,4.593962362243949,4.544656039367778,3.4147356208,0.0003802074,38.9370399074,3.434555138706355,20.261313822554783
sub-015P,salience,4.666268425247134,3.4947956459532383,3.9902673056,0.0003204041,24.7544075195,1.9908403441932356,7.328254096761128
sub-015P,visual,4.240086179147134,4.237955023473418,3.4252482329,8.53407e-05,40.8734209534,4.613400785707148,34.40027657546737
sub-016P,auditory,3.398221600901911,3.4997361907133184,3.0447274803,0.0008356325,30.2368592292,5.13312313652948,34.96268670678486
sub-016P,dmn,3.50490252412293,3.805718551744796,2.9662121859,0.0006484243,37.2758382622,5.603156514368312,42.60873786733092
sub-016P,fpn,3.467037734106369,2.8146724677328203,2.6959555485,6.86593e-05,15.0153298999,1.310958743075691,1.921826302371941
sub-016P,limbic,3.3703277193216565,5.03308513406391,2.4314096062,0.0001630676,45.1930530952,6.493744764013008,48.59967344454162
sub-016P,motor,3.1466076082350316,2.509687981078665,2.5701301638,0.0010395457,15.5076193115,1.694501648382433,4.229093630838014
sub-016P,salience,3.1066208343248407,2.7513990752013995,2.2578636478,0.0008684557,16.467535886,1.5766589178290595,3.2216194189282703
sub-016P,visual,3.347316446119745,3.2581278701096745,2.4048689123,0.0004339431,23.5860956168,2.58467515408161,10.1676356118254
sub-018P,auditory,3.513431734702548,3.29690341880707,2.6804197348,0.0001544389,25.2573122926,2.8718940400674473,12.969074989482959
sub-018P,dmn,3.8247436462127387,3.7011635940010885,2.6523452334,0.0001909729,21.8741651264,2.5029663972630622,8.126470821980062
sub-018P,fpn,3.7441498938439493,4.524724867651799,2.6063042564,0.0002555849,36.8347560081,3.7300298875554736,19.420681008897343
sub-018P,limbic,3.118607334619745,2.2649575936094366,2.6211507823,0.0004154104,11.9458224665,1.4692913326654344,2.8335340898081656
sub-018P,motor,3.5861844959471334,3.465569001321788,2.6408368646,9.91473e-05,26.2859164916,2.6536531722250993,11.62329348954769
sub-018P,salience,3.648607694276433,2.981784064349612,2.8740590365,0.0002169789,18.0683161153,1.4871646563948544,3.1126030027935867
sub-018P,visual,3.961683667987898,6.594598949905544,1.9451217861,0.0007236801,48.7169801535,4.0750380086316085,19.253372329379353
sub-019P,auditory,4.825467709081528,3.540280995819772,4.4981557647,0.0001304181,21.8636225085,1.6378230322019942,4.874123964683639
sub-019P,dmn,4.528087868947771,3.350129487851707,3.9849569528,0.0004329883,19.7312577177,1.4684296674791557,3.356739899684845
sub-019P,fpn,5.19349686026051,4.358369190532808,4.012090737,0.0001888828,25.7439677936,1.6120702955062436,3.358359546629643
sub-019P,limbic,3.9251021094853504,3.734845543243392,2.8812677441,0.0001872389,21.4184299565,1.9993260915762991,4.668287885938784
sub-019P,motor,4.531750780507643,3.1964804237003945,4.1497075179,0.0003671187,17.8167181387,1.1143535106846738,1.8302813668318851
sub-019P,salience,4.631187939434394,3.5419340105310493,3.8841972205,0.0001597443,18.7808514617,1.0980534902454993,1.247949082916585
sub-019P,visual,4.479277993715287,10.419982457702288,2.6665490135,0.000217604,124.2270089582,9.852109313039726,108.53718141690051
sub-023P,auditory,3.8117397423999995,3.124591050882342,3.0569532439,0.0009083591,17.3302421563,1.989568504465044,5.383161131575273
sub-023P,dmn,3.823683767364968,3.3052758036550247,2.7546470009,5.51011e-05,18.3585877768,1.852482236511935,4.179268788095437
sub-023P,fpn,3.476220211294267,3.2408943846981235,2.4408377102,0.0001489639,19.5356600924,1.9490630986281725,4.890456888090939
sub-023P,limbic,3.4847739007019105,2.651444815407855,3.0029339109,0.0006564627,16.360180098,1.8654438760735392,5.243569027305494
sub-023P,motor,3.7852705467560512,4.004390707132065,2.5969872491,0.0003353867,32.017426802,3.0002880482791747,14.97733439152535
sub-023P,salience,3.932137542535668,3.265332890676364,3.1545787594,0.0005279376,18.6260483836,1.763305235303494,3.953852436181153
sub-023P,visual,4.070825981357961,6.499304705591121,2.9354719187,2.64606e-05,72.58083398,7.723073647500433,76.3067912306676
sub-024P,auditory,4.037618071490446,3.8379889862288086,3.2060513784,0.0001608102,25.2925905846,2.3173070290029667,7.3942620699736334
sub-024P,dmn,4.257446092256688,3.957825782743849,3.529680024,0.0002533937,35.2694367349,4.188876508230251,26.023820619057112
sub-024P,fpn,4.419436522796816,4.181292701978688,3.4515158774,0.0001714757,31.2670493968,3.477478970048144,18.400909847298998
