subject,roi,mean,std,median,min,max,skew,kurtosis
sub-015P,auditory,4.987232960738889,4.088284997787685,4.04325162425,0.4020617825,33.9127961563,3.265606663268921,17.085950296497902
sub-015P,dmn,4.2909099834229165,3.1292769341960875,3.32621971695,0.275460957,19.3032947435,1.756631197623378,3.8417087007265343
sub-015P,fpn,4.587755321536111,4.582306341838118,3.58721380425,0.4384464362,37.3333822487,4.117553844318812,22.088467300121394
sub-015P,limbic,4.880717477081944,2.9443629921246006,4.0925916404,0.6362626481,18.6367351828,1.5486595816504116,3.6384763785276144
sub-015P,motor,4.986841119958334,4.541205645666896,3.68336429855,0.3620007452,38.9370399074,3.576265622720595,21.073267944391283
sub-015P,salience,5.072936082675694,3.362615632004804,4.31801110745,0.6276987009,24.7544075195,2.2930771592140236,8.640623378500232
sub-015P,visual,4.60097230565,4.238621323797818,3.6871413865,0.5032029725,40.8734209534,4.852746323527058,35.97453194522571
sub-016P,auditory,3.694789173533333,3.504660018846729,3.14434441325,0.3088345521,30.2368592292,5.394720579690975,36.21585716196212
sub-016P,dmn,3.8021613256013893,3.8342481666283397,3.1505581418,0.6792145218,37.2758382622,5.801235870839352,43.37307966194088
sub-016P,fpn,3.7732405271388894,2.739074242455375,3.00021111375,0.2807533536,15.0153298999,1.386888263154352,2.072951064346892
sub-016P,limbic,3.664228313522222,5.154392470097637,2.59503510505,0.4672805933,45.1930530952,6.443797797693149,46.64178609384197
sub-016P,motor,3.4180853544368057,2.442081101554182,2.7338981514,0.4399779509,15.5076193115,1.8460465955775796,4.673166056289293
sub-016P,salience,3.382026697528472,2.70858245631453,2.56293353565,0.1730274543,16.467535886,1.6252340527121778,3.3529162652177416
sub-016P,visual,3.639675142510417,3.2460502423600563,2.704624629,0.3889287454,23.5860956168,2.6695488264131093,10.468960419042316
sub-018P,auditory,3.8244571636277778,3.2681991110908064,3.0383450226,0.3515173524,25.2573122926,3.034198466144575,13.708716629766975
sub-018P,dmn,4.154368782661805,3.6892563450687605,2.9972826401,0.3767020922,21.8741651264,2.576711038185283,8.228230748444627
sub-018P,fpn,4.0608206989034725,4.59035098697985,2.74964161825,0.2831430809,36.8347560081,3.7312444728510337,18.983206005816125
sub-018P,limbic,3.3872615252215277,2.1699144241419073,2.7421891142000003,0.5032014379,11.9458224665,1.6912250030443101,3.27666512278246
sub-018P,motor,3.8973522705131938,3.45163092111264,3.0200339722500003,0.2411273091,26.2859164916,2.749669907974449,12.067799774400955
sub-018P,salience,3.963624945671528,2.9131007671725655,3.26923270055,0.635168022,18.0683161153,1.571840116209642,3.371674330061156
sub-018P,visual,4.301679980082638,6.781317844148712,2.1092556866,0.2903231961,48.7169801535,3.951842734569635,17.88137797325492
sub-019P,auditory,5.2438850942625,3.396606301057057,4.82199758375,0.467095034,21.8636225085,1.8845852944886452,5.787400147710745
sub-019P,dmn,4.914632160134028,3.225301236539763,4.1784966477,0.6405044838,19.7312577177,1.6542912025825918,3.8830632601719692
sub-019P,fpn,5.630007347275001,4.2797051802737185,4.257719965,0.5480958912,25.7439677936,1.6930583865996758,3.530465344453831
sub-019P,limbic,4.261508323610417,3.718357379572437,3.08297692935,0.473973073,21.4184299565,2.0307342104781836,4.629000950420769
sub-019P,motor,4.920903415284722,3.0466136694907746,4.44372684135,0.6597262599,17.8167181387,1.2853080569815902,2.2355337393535333
sub-019P,salience,5.023239130799306,3.431483659680742,4.25070692355,0.6315600261,18.7808514617,1.1680006035500792,1.3853093190611636
sub-019P,visual,4.870307158984027,10.794269861792282,3.1614307218,0.4488165556,124.2270089582,9.559706371466667,101.20148185336241
sub-023P,auditory,4.1424913849291665,3.0510119464516356,3.40823313365,0.3416552841,17.3302421563,2.16476994373176,5.846220242927835
sub-023P,dmn,4.136480331621527,3.2603575194451246,2.90536641895,0.3871226806,18.3585877768,1.9444119005041887,4.31721589653555
sub-023P,fpn,3.769804336038194,3.220820696300066,2.79396850065,0.4177348484,19.5356600924,1.9923498113422993,4.934542848800105
sub-023P,limbic,3.7570301338444443,2.570426675716017,3.1020188070500003,0.3357719882,16.360180098,2.105750856091519,5.9568584477737865
sub-023P,motor,4.112969270981945,4.021316516820998,2.78998155695,0.159641274,32.017426802,3.0536207982399564,15.173579312822557
sub-023P,salience,4.243844745936111,3.205840901001485,3.4135426442,0.3782203303,18.6260483836,1.8836155128672016,4.19541832022869
sub-023P,visual,4.428500958730556,6.671039711628382,3.1975095837,0.2223883491,72.58083398,7.644748651621999,73.23235140136481
sub-024P,auditory,4.38760106280625,3.8160110868593407,3.54319683955,0.2166477325,25.2925905846,2.3926058607853586,7.565280555426684
sub-024P,dmn,4.623483535545834,3.929195919184765,3.8053123678,0.4366012536,35.2694367349,4.4904221720905255,27.74137307379573
sub-024P,fpn,4.807977474802777,4.15105751291548,3.88903560445,0.2169909668,31.2670493968,3.6950676571699446,19.47745204731887
