,,ACW_50,ACW_0,ACW_Nadir
sub-005C,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 10.0, 12.0, 10.0]","[6.0, 4.0, 4.0, 16.0]"
sub-005C,visual,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 10.0, 12.0, 8.0, 4.0, 10.0, 12.0, 10.0]","[20.0, 6.0, 6.0, 6.0, 20.0, 10.0, 6.0, 12.0, 18.0, 20.0]"
sub-005C,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 10.0, 8.0]","[4.0, 12.0, 12.0, 12.0]"
sub-005C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[12.0, 8.0, 4.0, 4.0, 6.0, 6.0]","[24.0, 4.0, 4.0, 4.0, 6.0, 10.0]"
sub-005C,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 8.0, 6.0]","[4.0, 10.0, 14.0, 12.0]"
sub-005C,salience,"[2.0, 2.0, 2.0, 2.0]","[10.0, 12.0, 6.0, 6.0]","[12.0, 6.0, 6.0, 6.0]"
sub-005C,limbic,"[2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 8.0, 12.0]","[12.0, 12.0, 4.0, 12.0]"
sub-006C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 4.0, 10.0]","[4.0, 12.0, 8.0, 4.0]"
sub-006C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 10.0, 4.0, 4.0, 12.0, 12.0, 8.0, 6.0, 12.0, 8.0]","[16.0, 12.0, 4.0, 8.0, 16.0, 12.0, 12.0, 12.0, 12.0, 12.0]"
sub-006C,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 10.0, 12.0, 12.0]","[4.0, 16.0, 6.0, 8.0]"
sub-006C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[8.0, 8.0, 4.0, 4.0, 4.0, 6.0]"
sub-006C,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 8.0]","[4.0, 8.0, 8.0, 8.0]"
sub-006C,salience,"[2.0, 2.0, 2.0, 2.0]","[12.0, 14.0, 10.0, 8.0]","[8.0, 6.0, 4.0, 4.0]"
sub-006C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-007C,auditory,"[2.0, 2.0, 4.0, 2.0]","[6.0, 10.0, 8.0, 4.0]","[8.0, 4.0, 12.0, 4.0]"
sub-007C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 6.0, 12.0, 12.0, 4.0, 10.0, 4.0, 10.0]","[16.0, 16.0, 6.0, 6.0, 16.0, 16.0, 8.0, 6.0, 6.0, 4.0]"
sub-007C,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 12.0, 4.0]","[12.0, 4.0, 4.0, 4.0]"
sub-007C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[4.0, 6.0, 6.0, 6.0, 6.0, 8.0]","[6.0, 8.0, 8.0, 8.0, 6.0, 12.0]"
sub-007C,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0]","[6.0, 8.0, 6.0, 6.0]"
sub-007C,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 6.0, 6.0]","[8.0, 4.0, 8.0, 8.0]"
