,,ACW_50,ACW_0,ACW_Nadir
sub-003P,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 6.0, 6.0, 4.0]"
sub-003P,visual,"[4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0]","[10.0, 10.0, 4.0, 6.0, 6.0, 6.0, 8.0, 8.0, 10.0, 6.0]","[12.0, 12.0, 6.0, 12.0, 6.0, 6.0, 12.0, 12.0, 12.0, 6.0]"
sub-003P,motor,"[4.0, 2.0, 4.0, 2.0]","[8.0, 6.0, 8.0, 6.0]","[12.0, 8.0, 12.0, 8.0]"
sub-003P,dmn,"[2.0, 2.0, 4.0, 2.0, 2.0, 4.0]","[4.0, 4.0, 6.0, 6.0, 6.0, 6.0]","[6.0, 6.0, 8.0, 10.0, 6.0, 8.0]"
sub-003P,fpn,"[2.0, 2.0, 2.0, 4.0]","[6.0, 6.0, 6.0, 6.0]","[6.0, 10.0, 6.0, 8.0]"
sub-003P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[6.0, 6.0, 4.0, 4.0]"
sub-003P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 4.0]","[4.0, 8.0, 6.0, 6.0]"
sub-004P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 10.0]","[4.0, 12.0, 12.0, 14.0]"
sub-004P,visual,"[4.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 10.0, 6.0, 8.0]","[16.0, 8.0, 8.0, 8.0, 14.0, 14.0, 8.0, 12.0, 8.0, 8.0]"
sub-004P,motor,"[2.0, 4.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 14.0, 12.0, 12.0]"
sub-004P,dmn,"[2.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 6.0, 8.0, 8.0]","[12.0, 16.0, 8.0, 8.0, 4.0, 10.0]"
sub-004P,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 4.0, 6.0]","[2.0, 16.0, 4.0, 12.0]"
sub-004P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 12.0, 2.0, 8.0]"
sub-004P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0]","[4.0, 4.0, 8.0, 8.0]"
sub-005P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 8.0]","[2.0, 8.0, 2.0, 4.0]"
sub-005P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 8.0, 4.0, 8.0, 8.0, 6.0, 4.0, 10.0, 4.0]","[12.0, 12.0, 12.0, 8.0, 10.0, 12.0, 8.0, 8.0, 12.0, 6.0]"
sub-005P,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 6.0, 6.0, 6.0]","[12.0, 12.0, 6.0, 12.0]"
sub-005P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0]","[12.0, 8.0, 12.0, 2.0, 8.0, 8.0]"
sub-005P,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 2.0, 4.0, 6.0]","[12.0, 2.0, 4.0, 10.0]"
sub-005P,salience,"[2.0, 2.0, 2.0, 2.0]","[6.0, 2.0, 8.0, 8.0]","[8.0, 2.0, 2.0, 4.0]"
sub-005P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 16.0, 8.0]","[2.0, 4.0, 4.0, 4.0]"
sub-007P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 12.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 10.0]"
sub-007P,visual,"[4.0, 4.0, 4.0, 2.0, 4.0, 2.0, 2.0, 4.0, 2.0, 4.0]","[10.0, 10.0, 6.0, 6.0, 10.0, 10.0, 12.0, 10.0, 10.0, 10.0]","[16.0, 12.0, 8.0, 12.0, 20.0, 12.0, 16.0, 20.0, 12.0, 20.0]"
sub-007P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 10.0, 8.0, 8.0]","[6.0, 16.0, 8.0, 8.0]"
sub-007P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","[6.0, 10.0, 4.0, 4.0, 8.0, 12.0]","[12.0, 16.0, 4.0, 8.0, 8.0, 8.0]"
sub-007P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 4.0, 4.0]","[4.0, 12.0, 6.0, 8.0]"
