,,ACW_50,ACW_0,ACW_Nadir
sub-015P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 8.0]"
sub-015P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 6.0, 12.0, 8.0, 6.0, 6.0, 8.0, 8.0]","[8.0, 8.0, 12.0, 8.0, 8.0, 8.0, 12.0, 8.0, 8.0, 8.0]"
sub-015P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-015P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 4.0, 4.0, 6.0, 8.0]","[8.0, 4.0, 6.0, 4.0, 8.0, 8.0]"
sub-015P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 8.0, 8.0, 8.0]"
sub-015P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 6.0, 6.0]","[4.0, 2.0, 8.0, 8.0]"
sub-015P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 6.0]","[4.0, 4.0, 8.0, 8.0]"
sub-016P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 4.0]"
sub-016P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0, 10.0, 10.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0]"
sub-016P,motor,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]"
sub-016P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 10.0, 8.0, 4.0, 2.0]","[4.0, 4.0, 12.0, 8.0, 4.0, 2.0]"
sub-016P,fpn,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 4.0]"
sub-016P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 4.0]"
sub-016P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 8.0, 2.0]","[4.0, 4.0, 4.0, 4.0]"
sub-018P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 4.0]","[8.0, 8.0, 8.0, 6.0]"
