Region,A,B,mean(A),mean(B),diff,se,T,pval,hedges
visual,HC,MDD,9.276190476190477,7.438095238095237,1.8380952380952396,0.6248954561090676,2.9414443970199446,0.016289622695429884,0.8906221002922615
visual,HC,SZ,9.276190476190477,7.778947368421053,1.4972431077694237,0.6463412209416594,2.316490205572962,0.06997797152084495,0.7381571850199027
visual,MDD,SZ,7.438095238095237,7.778947368421053,-0.34085213032581585,0.7878079255947172,-0.43265892516695126,0.9022343234625365,-0.13422652059264858
motor,HC,MDD,8.023809523809524,6.214285714285714,1.8095238095238093,0.6583236458427854,2.7486842086725574,0.02379567471947963,0.8322574125311707
motor,HC,SZ,8.023809523809524,6.078947368421052,1.9448621553884715,0.60268758817704,3.2269822600314884,0.007118272174658435,0.9935817603732799
motor,MDD,SZ,6.214285714285714,6.078947368421052,0.1353383458646622,0.628878815647595,0.21520576380887632,0.9748087813742309,0.06601768216325596
dmn,HC,MDD,6.809523809476191,5.666666666666667,1.1428571428095244,0.45979718818612847,2.485567924671365,0.04714700208250955,0.7525900294877746
dmn,HC,SZ,6.809523809476191,6.175438596491228,0.6340852129849637,0.37550499308073315,1.6886199242858964,0.2240151847007421,0.5302151167212367
dmn,MDD,SZ,5.666666666666667,6.175438596491228,-0.5087719298245608,0.5002254153875152,-1.0170853262832011,0.5710457624480674,-0.3103882961986018
fpn,HC,MDD,7.357142857142857,5.880952380952381,1.4761904761904754,0.5845710872161489,2.5252539998521075,0.04426813830455023,0.7646063353766912
fpn,HC,SZ,7.357142857142857,6.7105263157894735,0.6466165413533833,0.5504089791088455,1.174792864753597,0.4778466169154343,0.374670960874913
fpn,MDD,SZ,5.880952380952381,6.7105263157894735,-0.8295739348370921,0.716506024598474,-1.15780454923876,0.48527587318663934,-0.3570072467825635
salience,HC,MDD,6.285714285714286,4.666666666666667,1.6190476190476186,0.5497886627570135,2.944854502689479,0.014623277033339432,0.8916546254954232
salience,HC,SZ,6.285714285714286,4.684210526315789,1.6015037593984962,0.5358943108674957,2.9884694181694367,0.013390097333543238,0.9294113302154334
salience,MDD,SZ,4.666666666666667,4.684210526315789,-0.017543859649122417,0.5732067099875896,-0.030606514793768302,0.9994836792693916,-0.009451698255634668
