Region,A,B,mean(A),mean(B),diff,se,T,pval,hedges
visual,HC,MDD,11.342857142857142,8.704761904761906,2.638095238095236,1.2320143710325941,2.1412860922102364,0.09432299638790753,0.6483470225386557
visual,HC,SZ,11.342857142857142,8.126315789473685,3.216541353383457,1.0917750979446532,2.946157463601095,0.014947106416771994,0.902025104190292
visual,MDD,SZ,8.704761904761906,8.126315789473685,0.5784461152882212,1.1226103703557966,0.5152688150430058,0.8644090160354803,0.157425428517911
dmn,HC,MDD,9.190476190666667,6.666666666666667,2.523809524,0.6310197628226782,3.999572870286174,0.0007913201059041031,1.211006399990118
dmn,HC,SZ,9.190476190666667,7.192982456140352,1.9974937345263148,0.5350490772227716,3.733290682220247,0.001762471050476444,1.14736807192851
dmn,MDD,SZ,6.666666666666667,7.192982456140352,-0.526315789473685,0.5982748898336115,-0.8797223457264948,0.6564237986097026,-0.26805200772905363
fpn,HC,MDD,9.071428571428571,6.333333333333333,2.738095238095238,0.6012081562699668,4.5543215100124534,0.00014327147652781758,1.3789753743986937
fpn,HC,SZ,9.071428571428571,7.052631578947368,2.018796992481203,0.6521111095437123,3.095786842051767,0.010481328933099165,0.9701004497359782
fpn,MDD,SZ,6.333333333333333,7.052631578947368,-0.7192982456140351,0.6798605374909601,-1.0580085266731625,0.5457647326448876,-0.329832276275556
salience,HC,MDD,6.238095238095238,4.238095238095238,2.0,0.5650938557086223,3.5392350842180353,0.003331692703995137,1.0716235150757316
salience,HC,SZ,6.238095238095238,4.7368421052631575,1.5012531328320806,0.5559369549034089,2.7004017624496925,0.028717878062707203,0.8162215020268913
salience,MDD,SZ,4.238095238095238,4.7368421052631575,-0.4987468671679194,0.41492304819389475,-1.2020225662057065,0.45930939708370533,-0.37094147543933703
